,,Station Code Index,,,,,
,DONGARGARH,DGG ,GUNTAKAL,GTL ,JALAMB,JM ,KATWA,KWAE 
,DORNAKAL,DKJ ,GUNTUR,GNT ,JALANDHAR CANTT.,JRC ,KALABURAGI,KLBG 
,DR AMBEDKAR NAGAR,DADN ,GURGAON,GGN ,JALANDHAR CITY,JUC ,KAZIPET,KZJ 
TAG-26,DUMKA,DUMK,GURUVAYUR,GUV ,JALGAON,JL ,KESINGA,KSNG 
,DUNGARPUR,DNRP ,GUWAHATI,GHY ,JALNA,J ,KENDUJHARGARH,KDJR 
,,,,6,,,,
Station Name,Code,Station Name,Code,Station Name,Code,Station Name,Code,
KHAJURAHO,KURJ ,MADARIHAT,MDT ,MURI,MURI ,NIHALGARH,NHH,
KHAGARIA,KGG ,MADAR JN.,MDJN ,MURKEONG SELEK,MZS ,NIMACH,NMH ,
KHALILABAD,KLD ,MADANMAHAL,MML,MURTAJAPUR,MZR ,NIRMALI,NMA,
KHAMMAM,KMT ,MADDUR,MAD ,MUZAFFAR NAGAR,MOZ ,NIZAMABAD,NZB,
KHANDWA,KNW ,MADGAON (GOA),MAO ,MUZAFFARPUR,MFP ,NOLI,NOLI ,
KHARAGPUR,KGP ,MADMUBANI,MBI ,MYSURU,MYS ,NORTH LAKHIMPUR,NLP ,
KHEKRA,KEX ,MADHUPUR,MDP ,NABADWIP DHAM,NDAE ,ODLABARI,ODB ,
KHONGSANG,KGBP,MADURAI JN.,MDU ,NADIAD,ND ,OKHA,OKHA ,
KHURDA ROAD,KUR ,MAHASAMUND,MSMD ,NADIKUDI,NDKD ,ONGOLE,OGL ,
KHURJA,KRJ ,MAHBUBNAGAR,MBNR ,NAHARLAGUN,NHLN ,ORAI,ORAI ,
KISHANGANJ,KNE ,MAHUVA,MHV ,NAGAPPATTINAM,NGT ,PACHORA,PC ,
KIRANDUL,KDLR ,MUNIGUDA,MNGD ,NAGRAKATA,NKB ,PALANI,PLNI ,
KISHANGARH,KSG,MAHESANA,MSM ,NAGARSOL,NSL ,PALANPUR,PNU ,
KIUL,KIUL,MAHOBA,MBA ,NAGBHIR,NAB,PALASA,PSA ,
KODAIKANAL ROAD,KQN ,MAILANI,MLN ,NAGDA,NAD,PALAKKAD,PGT ,
KOLKATA,KOAA ,MAKRANA,MKN ,NAGERCOIL JN.,NCJ ,PALAKKAD TOWN,PGTN ,
KOLLAM,QLN ,MAKSI,MKC ,NAGORE,NCR ,PALDHI,PLD ,
KOPERGAON,KPG ,MALDA TOWN,MLDT ,NAGPUR,NGP ,PALIAKALAN,PLK ,
KORAPUT,KRPU ,MANAMADURAI,MNM ,NAGAUR,NGO ,PANDHARAPUR,PVR ,
KORBA,KRBA,MANGALURU CENTRAL,MAQ ,NAINPUR,NIR ,PANIPAT,PNP ,
KOTA,KOTA ,MANGALURU JN.,MAJN ,NAJIBABAD,NBD ,PARADEEP,PROP ,
KOTDWARA,KTW ,MANIKPUR,MKP ,NALANDA,NLD ,PARASNATH,PNME ,
KOT KAPURA,KKP ,MANKAPUR,MUR ,NALGONDA,NLDA ,PANVEL,PNVL ,
KOTTAYAM,KTYM ,MANMAD,MMR ,NAMAKKAL,NMKL ,PARBHANI,PBN ,
KOZHIKODE,CLT ,MANNARGUDI,MQ ,NANDALUR,NRE ,PARVATIPURAM TOWN,PVPT ,
KRISHNANAGAR CITY,KNJ ,MANSI,MNE ,NANDGAON,NGN ,PATHANKOT,PTK ,
KRISHNARAJAPURAM,KJM ,MANU,MANU ,NANDURBAR,NDB ,PATHANKOT CANTT,PTKC ,
KUMARGHAT,KUGT,MANUGURU,MUGR ,NANDYAL,NDL ,PATIALA,PTA ,
KUSHTAGI,KHTI,MARIANI,MXN ,NANGAL DAM,NLDM ,PATLIPUTRA,PPTA ,
KUMBAKONAM,KMU,MARTYR CAPTAIN,MCTM,NARKATIAGANJ,NKE ,PATNA,PNBE ,
KUNDAPURA,KUDA,TUSHAR MAHAJAN,,NARASAPUR,NS ,PATNA SAHIB,PNC ,
KURDUWADI,KWV,MARWAR JN.,MJ ,NARPATGANJ,NPV,PHALODI,PLC ,
KURNOOL TOWN,KRNT ,MATHURA,MTJ ,NARSINGPUR,NU ,PHAPHAMAU,PFM ,
KURUKSHETRA,KKDE ,MAU,MAU ,NARWANA,NRW ,PHULERA,FL ,
LAKHIMPUR,LMP ,MAVLI JN.,MVJ ,NASIK ROAD,NK ,PILIBHIT,PBE ,
LAKSAR,LRJ,MAYILADUTURAI JN.,MV ,NATHDWARA,NOT ,PIPARIYA,PPI ,
LALGARH,LGH ,MEERUT CITY,MTC ,NAUGARH,NUH ,PODANUR,PTJ ,
LALGOLA,LGL ,MERTA ROAD,MTD ,NELLORE,NLR ,PT. DEEN DAYAL UPADHYAY,DDU ,
LALITGRAM,LLP,MERTA ROAD BYPASS,MTDB,NETAJI SUBHASH ,GMO ,PORBANDAR,PBR ,
LALITPUR,LAR ,METTUPALAYAM,MTP ,CHANDRA BOSE GOMOH,,MAA BELHA DEVI,MBDP,
LALKUAN JN.,LKU ,MIDNAPORE,MDN ,NEW ALIPURDUAR,NOQ ,DHAM PRATAPGARH,,
LATUR,LUR ,MIRAJ,MRJ,NEW BONGAIGAON,NBQ ,PRAYAG,PRG ,
LEDO,LEDO ,MIRYALAGUDA,MRGA ,NEW COOCHBEHAR,NCB,PRAYAGRAJ SANGAM,PYGS ,
LOHARU,LHU ,MIRZAPUR,MZP ,NEW DELHI,NDLS,PRAYAGRAJ,PRYJ ,
LOKMANYA TILAK (T),LTT ,MOGA,MOGA ,NEW HAFLONG,NHLG ,PRAYAGRAJ CHHEOKI,PCOI ,
LONAVLA,LNL ,MOKAMA,MKA ,NEW FARAKKA,NFK ,PUDUCHERRY,PDY ,
LONDA,LD ,MORADABAD,MB ,NEW JALPAIGURI,NJP ,PUDUKOTTAI,PDKT ,
