,Charminar Exp,12759/12760,Tambaram,Hyderabad,71,Dadar Exp,12959/12960,Bhuj,Dadar,11
,Chattisgarh Sampark,12823/12824,Durg,H. Nizamuddin,"32,81",Dadar Exp,12989/12990,Ajmer,Dadar,"11A,23"
,Kranti Exp,,,,,Dadar Exp,22147/22148,Sai Nagar shirdi,Dadar,53A
,Chauri Chaura Exp,15003/15004,Kanpur Anwarganj,Gorakhpur,63,Dadar Exp,22629/22630,Tirunelveli,Dadar,"26A,69A"
,Chemmozhi Exp,16615/16616,Mannaraudi,Coimbatore,69,Dahod Exp,12929/12930,Valsad,Dahod,3A
,Chenaaloattu Exp.,17651/17652,Kacheguda,Chenaaloattu Jn,71A,Dakshin Exp,12721/12722,Visakhapatnam,H. Nizamuddin,"9,42"
,Chennai Egmore Exp.,22153/22154,Salem,Chennai Egmore,21A,Danapur Exp,12351/12352,Howrah,Danapur,1A
,Chennai Egmore Exp.,22157/22158,Chhatrapati Shivaji,Chennai Egmore,10,Danapur Exp,19064,Udhana,Danapur,24
,,,Maharaj (T),,,Darbhanga Exp,11033/11034,Pune,Darbhanga,"6,22,44"
,Chennai Exp.,12389/12390,Gaya,MGR Chennai,17,Darbhanga Exp,11061/11062,Lokmanya Tilak (T),Darbhanga,"6,22"
,,,,Central,,,,,,
,,,,,,Darbhanga Exp,15233/15234,Kolkota,Darbhanga,37A
,Chennai Egmore Exp.,12633/12634,Kanniyakumari,Chennai Egmore,21A,,,,,
,,,,,,Darbhanga Exp,15235/15236,Howrah,Darbhanga,37A
,Chennai Egmore Exp.,12667/12668,Nagercoil,Chennai Egmore,21A,,,,,
,,,,,,Darbhanga Exp,15237/15238,Ajmer,Darbhanga,"13,79,64"
,Chennai Egmore Exp.,15929/15930,New Tinsukia,Tambaram,"29,66A",,,,,
,,,,,,Darbhanga Exp,17007/17008,Secundrabad,Darbhanga,"9,36,37,42"
,Chennai Egmore Exp.,20635/20636,Kollam,Chennai Egmore,21A,,,,,
,,,,,,Darjeeling Mail,12343/12344,Sealdah,Haldibari,14
,Chennai Egmore Exp.,20605/20606,Tiruchendur,Chennai Egmore,21A,,,,,
,,,,,,Darjeeling Passenger,52541,New Jalpaiguri,Darjeeling,95
,Chennai Egmore Exp.,16127/16128,Guruvavur,Chennai Egmore,"21A,85A",,,,,
,,,,,,Darjeeling Passenger,52545,Kurseong,Darjeeling,95
,Chennai Egmore Exp.,22675/22676,Tiruchchirappalli,Chennai Egmore,21A,,,,,
,,,,,,Darshan Exp,12493/12494,H. Nizamuddin,Miraj,4
,Chennai Egmore Exp.,16159/16160,Mangaluru Central,Tambaram,"21A,86A",,,,,
,,,,,,Dayodaya Exp,12181/12182,Jabalpur,Ajmer,72
,Chennai Egmore Exp.,22623/22624,Madurai,Chennai Egmore,21A,,,,,
,,,,,,Deccan Exp,11007/11008,Chhatrapati Shivaji,Pune,19
,Chennai Egmore Exp.,22661/22662,Rameshwaram,Chennai Egmore,21A,,,Maharaj (T),,
,Chennai Egmore Exp.,22663/22664,Jodhpur,Chennai Egmore,"23,46",Deccan Queen Exp,12123/12124,Chhatrapati Shivaji,Pune,19
,Chennai Egmore Exp.,20625/20626,Bhagat ki Kothi,Chennai Egmore,"21, 23, 46",,,Maharaj (T),,
,Cheran Exp,12673/12674,MGR Chennai,Coimbatore,86,Deekshabhoomi Exp.,11045/11046,Chhatrapati Shahu,Dhanbad,"17,44,53"
,,,Central,,,,,Maharaj (T),,
,Chetak Exp,20473/20474,Delhi Sarai Rohilla,Udaipur City,"23,54",Dehradun Exp,20493/20494,Madurai,Chandigarh,"8,27,69,75,86"
,Chhapra Exp,15053/15054,Gomti Nagar,Chhapra,33,Dehradun Exp,14119/14120,Kathaodam,Dehradun,"13,55"
,Chhapra Exp,15109/15110,Mathura,Chhapra,22,Dehradun Exp,15119/15120,Banaras,Dehradun,12
,Chhapra Exp,15113/15114,Gomti Nagar,Chhapra Kacheri,82,Dehradun Exp,15001/15002,Muzaffarpur,Dehradun,"13,64A"
,Chhattisgarh Exp,18237/18238,Bilaspur,Amritsar,"15,42",Dehradun Exp,15005/15006,Gorakhpur,Dehradun,13
,Chhatrapati Shahu ,22156,Chhatrapati Shahu ,Kalaburagi,10,Dehradun Exp,22659/22660,Thiruvanthapuram,Yog Nagari,"3A,26A,75"
,Maharaj (T) Exp,,Maharaj (T),,,,,North,Rishikesh,
,Chhatrapati Shahu,11049,Ahmedabad,Chhatrapati Shahu,"19,31",Delhi Exp,22429/22430,Pathankot,Delhi,15A
,Maharaj (T),,,Maharaj (T),,Delhi Exp,14205/14206,Ayodhya Cantt,Delhi,25A
,Chhatrapati Shahu,11403,Nagpur,Chhatrapati Shahu,44A,Delhi Exp,14207/14208,Partapgarh,Delhi,25A
,Maharaj (T),,,Maharaj (T),,Delhi Exp,14521/14522,Ambala Cantt.,Delhi,15A
,Chhatrapati Shahu,12148,H. Nizamuddin,Chhatrapati Shahu,"9,19",Delhi Exp,14682,Jalandhar,Delhi,16A
,Maharaj (T),,,Maharaj (T),,Delhi Exp,14731/14732,Bhatinda,Delhi,39
,Chirimiri Exp,18257/18258,Bilaspur,Chirimiri,32,Delhi Exp,22403/22404,Puducherry,New Delhi,8A
,Chikkamagaluru Exp.,16240,Yesvantpur,Chikkamagaluru,19,Delhi Exp,14545/14546,Saharanpur,Delhi,84
,Chikkamagaluru Exp.,17423,Tirupati,Chikkamagaluru,"19,70",Delhi Sarai Rohilla Exp.,12455/12456,Bikaner,Delhi Sarai Rohilla,39A
,Chitrakoot Dham Karvi,14109/14110,Kanpur Central,Chitrakoot Dham,57,Delhi Sarai Rohilla Exp.,12457/12458,Bikaner,Delhi Sarai Rohilla,59
,Exp.,,,Karvi,,Delhi Sarai Rohilla Exp.,14713,Sikar,Delhi Sarai Rohilla,59A
,Chitrakoot Exp,15205/15206,Lucknow,Jabalpur,57,Delhi Sarai Rohilla Exp.,20937/20938,Porbandar,Delhi Sarai Rohilla,"11A,23A"
,Chopan Exp,18613/18614,Ranchi,Chopan,41,Delhi Sarai Rohilla Exp.,20913/20914,Rajkot,Delhi Sarai Rohilla,"11A,23A"
,Chopan Exp,18631/18632,Ranchi,Chopan,41,Delhi Sarai Rohilla Exp.,22481/22482,Jodhpur,Delhi Sarai Rohilla,59
,Circar Exp,17643/17644,Pondicherry,Kakinada Port,7,Delhi Sarai Rohilla Exp.,22949/22950,Bandra (T),Delhi Sarai Rohilla,"11,23"
,Coalfield Exp,12339/12340,Howrah,Dhanbad,37,Delhi Sarai Rohilla Exp.,19337/19338,Indore,Delhi Sarai Rohilla,"23,23A,54,54A"
,Coimbatore,12515/12516,Silchar,Coimbatore,"83,29,86",Deoghar Exp,15625/15626,Agartala,Deoghar,"18,83"
,Coimbatore Exp,11013/11014,Lokmanya Tilak (T),Coimbatore,"10,86",Devairi Exp,17057/17058,Chhatrapati Shivaji,Secunderabad,53
,Coimbatore Exp,12681/12682,MGR Chennai,Coimbatore,86,,,Maharaj (T),,
,,,Central,,,Dhanbad Exp,13331/13332,Patna,Dhanbad,36A
,Coimbatore Exp,12969/12970,Jaipur,Coimbatore,"3,8,86",Dhanbad Exp,13351/13352,Alappuzha,Dhanbad,"40A,86A"
,Coimbatore Exp,22475/22476,Hisar,Coimbatore,"23,59,26",Dharmabad Exp,17687/17688,Manmad,Dharmabad,53
TAG-26,Coimbatore Exp,22667/22668,Nagercoil,Coimbatore,69,Dharmavaram Exp,17215/17216,Viiayawada,Dharmavaram,49
,Coimbatore Exp,16613/16614,Rajkot,Coimbatore,31,Dharti Aaba Exp,22837/22838,Hatia,Ernakulam Jn,40
,Coimbatore Exp,16617/16618,Rameshwaram,Coimbatore,"69A,21",,,,,
,,,,,30,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
Dhauladhar Exp,14035/14036,Delhi Sarai Rohilla,Pathankot,16,Ernakulam Exp,10215/10216,Madgaon,Ernakulam Jn,26,
Dhauli Exp,12821/12822,Howrah,Puri,7,Ernakulam Exp,12683/12684,Ernakulam Jn,SMVT Bengaluru,86,
Dhule Exp,11011/11012,CSMT,Dhule,"2,2A",Ernakulam Exp,16187/16188,Karaikal,Ernakulam Jn,86,
Diaha Exp,22873/22874,Visakhapatnam,Digha,7A,Ernakulam Exp,16337/16338,Okha,Ernakulam Jn,26,
Dibrugarh Exp,15903/15904,Chandigarh,Dibrugarh,"13,13A,66,88",Ernakulam Exp,22669/22670,Patna,Ernakulam Jn,"17,86",
Dibrugarh Exp,15927/15928,Rangiya,New Tinsukia Exp.,66,Ernakulam Exp,18189/18190,Tatanagar Junction,Ernakulam Jn,40,
Dibrugarh Exp,15929/15930,Tambaram,New Tinsukia Exp.,"29A,66",Ernakulam Exp,22643/22644,Patna,Ernakulam Jn,"86,29",
Dibrugarh Exp,15933/15934,Amritsar,New Tinsukia Exp.,"13A,66",Ernakulam Exp,22815/22816,Bilaspur,Ernakulam Jn,"42A,8,86",
Dibrugarh Exp,15967/15968,Rangiya,Dibrugarh,66,Etarsi Exp,12273/12274,Howrah,New Delhi,1,
Digha Exp,12580,Puri,Digha,74,Falaknuma Exp,12703/12704,Howrah,Secunderabad,30,
Digha Exp,13417/13418,Malda Town,Digha,"14A,87A",Farakka Exp,15733/15734,Balurghat,Bhatinda,"1,25,39",
Digha Exp,13505/13506,Asansol,Digha,87A,Farakka Exp,15743/15744,Balurghat,Bhatinda,"1,25,39",
DimaPur Exp,15665/15666,Guwahati,Mariani,66,Farrukhabad Exp,15039/15040,Kasaani,Farrukhabad,82,
Dimapur Exp,15669/15670,Guwahati,Dibrugarh Town,66,Farrukhabad Exp,15042,Kasaani,Farrukhabad,82,
Donyi Polo Exp,15617/15618,Guwahati,Dullabchera,62,Firozpur Exp,14601/14602,Hanumangarh,Firozpur,39,
Doon Exp,13009/13010,Howrah,Yog Nagari,12,Firozpur Exp,14613/14614,Sahibzada Ajeet,Firozpur,15,
,,,Rishikesh,,,,Singh Nagar,,,
Dumka Exp,18619/18620,Ranchi,Godda,36,,,(Mohali),,,
Dumka Exp,13334/13333,Patna,Dumka,1,Firozpur-Nanded Exp,14621/14622,H.S. Nanded,Firozpur,"4,53",
Durg Exp,12549/12550,Martyr Captain,Durg,"16A,32A,81",Flying Rani Exp,12921/12922,Mumbai Central,Surat,11,
,,Tushar Mahajan,,,Hospet Exp,11139/11140,Chhatrapati Shivaji,Hospet,19,
Durg Exp,18201/18202,Nautanwa,Durg,81,,,Maharaj (T),,,
Durg Exp,18205/18206,Nautanwa,Durg,"38,81",Galta Dham Pooja Exp,12413/12414,Jammu Tawi,Ajmer,"16A,23",
Durg Exp,18207/18208,Ajmer,Durg,"72,81",Ganadevta Exp,13017/13018,Howrah,Azimganj,14,
Durg Exp,18213/18214,Ajmer,Durg,"72,81A",Gandhidham Exp,12993/12994,Puri,Gandhidham,"34A,78A",
Durg Exp,20847/20848,Martyr Captain,Durg,"4A,32A,81A",Gandhidham Exp,19335/19336,Indore,Gandhidham,"3,11",
,,Tushar Mahajan,,,Gandhidham Exp,15667/15668,Kamakhya,Gandhidham,"3,11,18A,33A",
Durg Exp,18425/18426,Puri,Durg,"34,34A,78",Gandhidham Exp,16335/16336,Nagercoil,Gandhidham,26A,
Durg Exp/Passr.,18241/18242,Ambikapur,Durg,81,Gandhidham Exp,18501/18502,Visakhapatnam,Gandhidham,"8A,34A",
Durgiana Exp,12357/12358,Kolkata,Amritsar,12,Gandhidham Exp,19151,Palanpur,Gandhidham,11,
Duronto Exp,12213/12214,Yehsvantpur,Delhi Sarai Rohilla,9,Gandhidham Exp,22973/22974,Puri,Gandhidham,"34,34A",
Duronto Exp,12219/12220,Lokmanya Tilak (T),Secunderabad,10,Gandhidham Exp,22483/22484,Bhagat ki Kothi,Gandhidham,"11,23",
Duronto Exp,12221/12222,Pune,Howrah,5,Gandhidham Exp,22951/22952,Bandra (T),Gandhidham,11,
Duronto Exp,12223/12224,Lokmanya Tilak (T),Ernakulam Jn,26,Gondia Exp,15231/15232,Barauni,Gondia,"81,5",
Duronto Exp,12227/12228,Mumbai Central,Indore,3,Ganga Damodar Exp.,13329/13330,Dhanbad,Patna,36,
Duronto Exp,12239/12240,Mumbai Central,Hisar,"3,77",Ganga Gomti Exp,14215/14216,Prayagraj Sangam,Lucknow,25,
Duronto Exp,12245/12246,Howrah,SMVT Bengaluru,29,Ganga Kaveri Exp,12669/12670,MGR Chennai,Chhapra,17,
Duronto Exp,12259/12260,Sealdah,Bikaner,"1,59",,,Central,,,
Duronto Exp,12261/12262,Chhatrapati Shivaji,Howrah,5,Ganga Sutlej Exp,13307/13308,Dhanbad,Firozpur,12,
,,Maharaj (T),,,Gangasagar Exp,13185/13186,Sealdah,Jaynagar,37,
Duronto Exp,12263/12264,Pune,H. Nizamuddin,4,Garbha Exp,12937/12938,Gandhidham,Howrah,"3,11,65",
Duronto Exp,12265/12266,Delhi Sarai Rohilla,Jammu Tawi,16,Garib Nawaz Exp,15715/15716,Kishanganj,Ajmer,"18,23,25",
Duronto Exp,12267/12268,Mumbai Central,HAPA,11,Garib Nawaz Exp,16531/16532,Ajmer,KSR Bengaluru,"11,19,23,60",
Duronto Exp,12269/12270,MGR Chennai,H. Nizamuddin,8,Garib Nawaz Exp,18631/18632,Ranchi,Chopan,41,
,,Central,,,Garib Rath Exp,12113/12114,Pune,Nagpur,44,
Duronto Exp,12273/12274,Howrah,New Delhi,1,Garib Rath Exp,12187/12188,Jabalpur,Chhatrapati Shivaji,6,
Duronto Exp,12281/12282,Bhubaneswar,New Delhi,32,,,,Maharaj (T),,
Duronto Exp,12283/12284,Ernakulam Jn,H. Nizamuddin,"3,26",Garib Rath Exp,12201/12202,Lokmanya Tilak (T),Thiruvanthapuram,26,
Duronto Exp,12285/12286,Secunderabad,H. Nizamuddin,9,,,,North,,
Duronto Exp,12289/12290,Chhatrapati Shivaji,Nagpur,5,Garib Rath Exp,12203/12204,Saharsa,Amritsar,"13,15",
,,Maharaj (T),,,Garib Rath Exp,12207/12208,Kathaodam,Jammu Tawi,"12,55",
Duronto Exp,12293/12294,Lokmanya ,Prayagraj,6,Garib Rath Exp,12209/12210,Kanpur Central,Kathaodam,"22,55",
,,Tilak (T),,,Garib Rath Exp,12211/12212,Muzaffarpur,Anand Vihar (T),"22,64",
Duronto Exp,12297/12298,Ahmedabad,Pune,31,Garib Rath Exp,12215/12216,Delhi Sarai Rohilla,Bandra (T),"23,11",
Duronto Exp,22201/22202,Sealdah,Puri,7,Garib Rath Exp,12257/12258,Yesvantpur,Thiruvanthapuram,86,
Duronto Exp,22203/22204,Visakhapatnam,Secunderabad,30,,,,North,,
Duronto Exp,22209/22210,Mumbai Central,H. Nizamuddin,3,Garib Rath Exp,13127/13128,Kolkata,Ara,"1, 1A",
Duronto Exp,22213/22214,Shalimar,Patna,"1,12",Garib Rath Exp,12517/12518,Kolkata,Guwahati,14,
Dwarka Exp,15635/15636,Okha,Guwahati,"3,11,18",Garib Rath Exp,12535/12536,Lucknow Jn.,Raipur,81,
East Coast Exp,18045/18046,Shalimar,Charlapalli,30,Garib Rath Exp,12435/12436,Jaynagar,Anand Vihar (T),"1,90",
Ekatmata Exp,14259/14260,Lucknow,Gaya,12,Garib Rath Exp,12611/12612,MGR Chennai,H. Nizamuddin,8,
,,,,,,,Central,,,
Ekatmata Exp,14261/14262,Lucknow,Gaya,12,,,,,,
,,,,,Garib Rath Exp,12735/12736,Secunderabad,Yesvantpur,9,
Ekta Exp,14795/14796,Bhiwani,Kalka,27,,,,,,
,,,,,Garib Rath Exp,12739/12740,VisakhaPatnam,Secunderabad,30,
Ernad Exp,16605/16606,Mangaluru Central,Thiruvananthapuram,85,,,,,,
,,,,,Garib Rath Exp,12831/12832,Dhanbad,Bhubaneswar,78,
Ernakulam Exp,22655/22656,H. Nizamuddin,Ernakulam Jn,"3,26",,,,,,
,,,,,Garib Rath Exp,12877/12878,Ranchi,New Delhi,41,TAG-26
,,,,,31,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table
Name,No,Station,Station,No.,Name,No,Station,Station,No.
Garib Rath Exp,12881/12882,Shalimar,Puri,7,Gujarat Queen Exp,19033/19034,Valsad,Ahmedabad,11
Garib Rath Exp,12909/12910,Bandra (T),H. Nizamuddin,3,Gujarat Sampark,22953/22954,Mumbai Central,Ahmedabad,11
Garib Rath Exp,12983/12984,Ajmer,Chandigarh,"23,27,80",Gujarat Shatabdi Exp.,12009/12010,Mumbai Central,Ahmedabad,11
Garib Rath Exp,22405/22406,Anand Vihar (T),Bhagalpur Jn.,1,Gurudev Exp,12659/12660,Nagercoil,Shalimar,"86,29"
Garib Rath Exp,22409/22410,Gaya,Anand Vihar (T),1,Guruvavur Exp,16127/16128,Chennai Egmore,Guruvavur,"21,85"
Garib Rath Exp,22883/22884,Puri,Yesvantpur,"7,49",Guwahati Exp,12509/12510,SMVT Bengaluru,Guwahati,29
Gatiman Exp,12049/12050,H. Nizamuddin,Virangana,2,Guwahati Exp,12513/12514,Secunderabad,Silchar,29
,,,Lakshmibai Jhansi,,Guwahati Exp,15631/15632,Barmer,Guwahati,"18,28"
Gautami Exp,12737/12738,Kakinada Port,Lingampalli,30,Guwahati Exp,15639/1564,Puri,Guwahati,29
Gaya Exp,12389/12390,MGR Chennai,Gaya,17,Guwahati Exp,15647/15648,Lokmanya Tilak (T),Guwahati,"18,24"
,,Central,,,Guwahati Exp,15665/15666,Guwahati,Mariani,66
Gaya Exp,13023/13024,Howrah,Gaya,1,Guwahati Exp,15669/15670,Guwahati,Dibrugarh Town,66
Gaya Memu Exp,13545/13546,Asansol,Gaya,1,Guwahati Exp,19305/19306,Indore,Guwahati,"18,35,74"
Gaya Exp,15619/15620,Kamakhya,Gaya,93,Guwahati Exp,15611/15612,Rangiya,Silchar,83
Ghazipur City Exp,13121/13122,Kolkata,Ghazipur City,"1,22",Gwalior Exp,22547/22548,Sabarmati,Gwalior,"2,23"
Ghazipur City Exp,19041,Bandra (T),Ghazipur City,"3,22",Gwalior Exp,11125,Indore,Gwalior,33
Ghazipur City Exp,14611/14612,Shri Vaishno Devi,Ghazipur City,12,Gwalior Mail,11123/11124,Barauni,Gwalior,33
,,Mata,,,,,,,
,,,,,H.S. Nanded Exp.,12421/12422,Amritsar,Hazur Sahib,"9,15,39,53"
Gitanjali Exp,12859/12860,Chhatrapati Shivaji,Howrah,5,,,,,
,,,,,,,,Nanded,
,,Maharaj (T),,,,,,,
,,,,,H.S. Nanded-Hadapsar,17629/17630,Hazur Sahib,Hadapsar*,"44,53"
Goa Exp,12779/12780,Vasco-de-Gama,H. Nizamuddin,"9,19",,,,,
,,,,,Exp.,,Nanded,,
Goa Sampark Kranti Exp.,12449/12450,Madgaon,Chandigarh,"3,26,27",,,,,
,,,,,H.S. Nanded Exp.,12439/12440,Sri Ganganagar,Hazur Sahib,"9,39,53"
Godaan Exp,11055/11056,Lokmanya Tilak (T),Gorakhpur,"6,63",,,,Nanded,
Godaan Exp,11059/11060,Lokmanya Tilak (T),Chhapra,"6,22,63",H.S. Nanded Exp.,12439/12440,Pune,Hazur Sahib,"44,53"
Godavari Exp,12727/12728,Visakhapatnam,Hyderabad,30,,,,Nanded,
Godda Exp,13319/13320,Ranchi,Dumka,36,H.S. Nanded Exp.,12768,Santragachi,Hazur Sahib,"5,53"
Godda Exp,14049/14050,Godda,Delhi,1,,,,Nanded,
Godda Exp,18603/18604,Ranchi,Godda,36,H.S. Nanded Exp.,16594,Bengaluru City,Hazur Sahib,60
Godda Exp,22312/22311,Lokmanya Tilak (T),Godda,24,,,,Nanded,
Godda Exp,19603/19604,Daurai,Godda,"23,41,41,67",H.S. Nanded Exp.,17409,Adilabad,Hazur Sahib,53
Golconda Exp,17201/17202,Guntur,Secunderabad,71,,,,Nanded,
Golden Temple Mail,12903/12904,Bandra (T),Amritsar,"3,4,15",H.S. Nanded Exp.,17613,Panvel,Hazur Sahib,44
Golgumbaz Exp,16535/16536,Mysuru,Pandharpur,19,,,,Nanded,
Gomateshwara Exp,16575/16576,Yesvantpur,Mangaluru Junction,19,H.S. Nanded Exp.,17620,Chhatrapati,Hazur Sahib,52
Gomti Exp,12419/12420,Lucknow,New Delhi,25,,,SambhaJi Nagar,Nanded,
Gomti Nagar Exp,15089/15090,Gomti Nagar,Godda,18,H.S. Nanded Exp.,17624,Sri Ganganagar,Hazur Sahib,"39,23,34,53"
Gorakhpur ,15009/15010,Gorakhpur,Izzatnagar,38,,,,Nanded,
Izzatnagar Exp,,,,,H.S. Nanded Exp.,22710,Amb Andaura,Hazur Sahib,"2A,27,53"
Gondwana Exp,12409/12410,Raigarh,H. Nizamuddin,42,,,,Nanded,
Gondwana Exp,22181/22182,Jabalpur,H. Nizamuddin,56,Habibganj Exp,12153,Lokmanya Tilak (T),Rani Kamalapati,2
Gorakhdham Exp,12555/12556,Gorakhpur,Bathinda Junction,"22,39",Haldia Exp,12444,Anand Vihar (T),Haldia,"1,87"
Gorakhpur Exp,11079/11080,Lokmanya Tilak (T),Gorakhpur,"35,38",Haldia Exp,22330,Asansol,Haldia,87
Gorakhpur Exp,11081/11082,Lokmanya Tilak (T),Gorakhpur,"6,63",Hampi Exp,16591/16592,SSS Hubballi,Mysuru,60
Gorakhpur Exp,12589/12590,Secunderabad,Gorakhpur,"9,17,35",Hanumanaarh Exp,14601,Firozpur,Hanumangarh,39
Gorakhpur Exp,12591/12592,Yesvantpur,Gorakhpur,"9,17,35",Hapa Exp,12476,Shri Mata Vaishno,Hapa,"3,11,16"
Gorakhpur Exp,13507/13508,Asansol,Gorakhpur,37,,,Devi Katra,,
Gorakhpur Exp,15005/15006,Dehradun,Gorakhpur,13,Hapa Exp,19060,Jamnagar/Surat,Hapa,11
Gorakhpur Exp,15021/15022,Shalimar,Gorakhpur,"63,32",Hapa Exp,22907,Madgaon,Hapa,26
Gorakhpur Exp,15023/15024,Yesvantpur,Gorakhpur,"9,35,52",Hapa Exp,22940,Bilaspur,Hapa,34
Gorakhpur Exp,15029/15030,Pune,Gorakhpur,"35,44",Haridwar Exp,12171,Lokmanya Tilak (T),Haridwar,"2A,75"
Gorakhpur Exp,15045/15046,Okha,Gorakhpur,"11,33",Haridwar Exp,19019/19020,Bandra (T),Haridwar,"3A,75"
Gorakhpur Exp,15049/15050,Kolkata,Gorakhpur,"37,63",Haridwar Exp,12911,Valsad,Haridwar,"3A,75"
Gorakhpur Exp,15051/15052,Kolkata,Gorakhpur,"37,64",Haridwar Exp,14115,Prayagraj Junction,Dr. Ambedkar,88
Gorakhpur Exp,15057/15058,Anand Vihar (T),Gorakhpur,22,,,,Nagar,
Gorakhpur Exp,15064,Lokmanya Tilak (T),Gorakhpur,"38,35",Haridwar Exp,14606,Jammu Tawi,Haridwar,12
Gorakhpur Exp,15065/15066,Panvel,Gorakhpur,"38,35",Haridwar Exp,15034,Ram Nagar,Haridwar,"13,55"
Gorakhpur Exp,15067/15068,Bandra (T),Gorakhpur,"38,35,24",Haridwar Exp,22917,Bandra (T),Haridwar,"3,75"
GorakhPur Exp,15103/15104,Manduadih,Gorakhpur,63,Haridwar Exp,14888,Barmer,Haridwar,45
Gorakhpur Exp,19409/19410,Sabarmati,Gorakhpur,"23,79,82",Haridwar Exp,14717,Bikaner,Haridwar,"16,25,39"
Gorakhpur Exp,22423/22424,Amritsar,Gorakhpur,13,Harihar Exp,14523/14524,Barauni,Ambala Cantt,"22,88"
Gorakhpur Exp,18629/18630,Ranchi,Gorakhpur,"36,37",Haripriya Exp,17415/17416,Tirupati,Sri Chhatraoati,"19,49"
Gour Exp,13153/13154,Sealdah,Malda Town,14,,,,Shahu Maharaj (T),
Grand Trunk Exp,12615/12616,MGR Chennai,New Delhi,8,Haryana Exp,14085/14086,Tilak Bridge,Sirsa,39
TAG-26,,Central,,,Hasdeo Exp,18249/18250,Korba,Raipur,42
Gujarat Mail,12901/12902,Mumbai Central,Ahmedabad,11,Hasdeo Exp,18251/18252,Korba,Raipur,42
,,,,32,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
Hassan Exp,11311,Solapur,Hassan,19A,SSS Hubballi Exp,12778,Thiruvanthapuram,SSS Hubballi,"86A,19A",
Hatev Bazar Exp,13163/13164,Sealdah,Saharsa,14,,,North,,,
Hatey Bazar Exp,13169/13170,Sealdah,Saharasa,14,SSS Hubballi Exp,17318,Lokmanya T ilak,SSS Hubballi,19,
Hatia Exp,12811,Lokmanya Tilak (T),Hatia,5A,SSS Hubballi Exp,17320,Hyderabad,SSS Hubballi,"10A,19",
Hatia Exp,12836,SMVT Bengaluru,Hatia,"20A,40",SSS Hubballi Exp,22698,MGR Chennai,SSS Hubballi,"19A,20",
Hatia Exp,13303,Dhanbad,Hatia,36A,,,Central,,,
Hatia Memu Exp,13503,Barddhaman,Hatia,73,SSS Hubballi Exp,17324,Banaras,SSS Hubballi,"6,9,19",
Hatia Exp,13513,Asansol,Hatia,36A,SSS Hubballi Exp,20655,Yesvantpur,SSS Hubballi,19A,
Hatia Exp,18623,Islampur,Hatia,"36A,90",Humsafar Exp,13423/13424,Ajmer,Bhagalpur,"24,72",
Hatia Exp,18625,Purnea Court,Hatia,36A,Humsafar Exp,13115/13116,Sealdah,Jalpaiguri Road,"14, 14A",
Hatia Exp,18638,SMVT Bengaluru,Hatia,"20A,40A",Humsafar Exp,22141/22142,Pune,Nagpur,5,
Hatia Exp,18621,Patna,Hatia,36A,Humsafar Exp,12235/12236,Ananad Vihar (T),Madhupur,1,
Hatia Exp,18633,Pune,Hatia,"5A,44",Humsafar Exp,12349/12350,Godda,New Delhi,1,
Hazar Duari Exp,13113/13114,Kolkata,Lalaola,14,Humsafar Exp,12503/12504,SMVT Bengaluru,Agartala,"83,29",
Hemkunt Exp,14609/14610,Rishikesh,Shri Mata Vaishno,12,Humsafar Exp,12571/12572,Gorakhpur,Anand Vihar (T),22,
,,,Devi Katra,,Humsafar Exp,12595/12596,Gorakhpur,Anand Vihar (T),22,
Himachal Exp,14053/14054,Delhi,Daulatpur Chowk,16,Humsafar Exp,12751/12752,H.S. Nanded,Jammu Tawi,"4,53",
Himairi Exp,12331/12332,Howrah,Jammu Tawi,12,Humsafar Exp,16319/16320,Thiruvanthapuram,SMVT Bengaluru,86,
HimSagar Exp,16317/16318,Kanniyakumari,Shri Mata Vaishno,"16,86",,,North,,,
,,,Devi Katra,,Humsafar Exp,19669/19670,Udaipur,Patliputra,"3,54,79",
Hirakhand Exp,18447/18448,Bhubaneswar,Jagdalpur,40,Humsafar Exp,20889/20890,Howrah,Tirupati,29,
Hirakud Exp,20808/20807,Visakhapatnam,Amritsar,"15,30,32,78",Humsafar Exp,22139/22140,Pune,Ajni,5,
Hisar Exp,22737/22738,Secundrabad,Hisar,"23A,46,59",Humsafar Exp,22169/22170,RKMP,Santragachi,"5,43",
Hisar Exp,22476,Coimbatore,Hisar,"23A,26,59",Humsafar Exp,22171/22172,Rani Kamalapati,Pune,9,
Hisar Exp,22915,Bandra (T),Hisar,"11,23,59",Humsafar Exp,22317/22318,Sealdah,Jammu Tawi,12,
Hool Exp,22321/22322,Howrah,Siuri,92,Humsafar Exp,22353/22354,Patna,SMVT Bengaluru,17,
Hoshiarour Exp,14012,Delhi,Hoshiarpur,16,Humsafar Exp,22497/22498,Sri Ganganagar,T iruchchirappalli,"11,19,45,69",
Howrah Exp,12308/22308,Jodhpur/Bikaner,Howrah,"23A,65",Humsafar Exp,22705/22706,Tirupati,Jammu Tawi,"9,16,71",
Howrah Exp,12323/12324,Barmer,Howrah,1,Humsafar Exp,22833/22834,Bhubaneswar,SMVT Bengaluru,"7,20",
