Ahmedabad Exp,19035/19036,Vadodara,Vatva,11,Amrit Bharat Exp,19623/19624,Madar Jn,Darbhanga,"22,22A,23,23A,33",
Ahmedabad Exp,19223/19224,Jammu Tawi,Sabarmati,"23,45",Amritha Exp,16343/16344,Thiruvananthapuram,Rameswaram,86,
Ahmedabad Exp,19401/19402,Lucknow,Sabarmati,23,Amrit Bharat Exp,16601/16602,Erode,Jogbani,"17,86,90",
Ahmedabad Exp,20939/20940,Sultanpur,Sabarmati,"23,25A",Amrit Bharat Exp,19021/19022,Udhna,Brahmapur,34,
Ahmedabad Exp,19409/19410,Gorakhpur,Sabarmati,"79,23,82",Amrit Bharat Exp,22361/22362,Rajender Nagar,New Delhi,"1,1A",
Ahmedabad Exp,19413/19414,Kolkata,Ahmedabad,"3,23,43,43A,73A,54A",Amritsar Exp,11057/11058,Chhatrapati Shivaji,Amritsar,"2,2A,4,15",
Ahmedabad Exp,19415/19416,Shri Mata Vaishno,Sabarmati,"23,23A,80",,,Maharaj (T),,,
,,Devi Katra,,,Amritsar Exp,12421/12422,Hazur Sahib,Amritsar,"9,15,39,53",
Ahmedabad Exp,20919/20920,MGR Chennai,Ekta Nagar,"3,10",,,Nanded,,,
,,Central,,,Amritsar Exp,12483/12484,Thiruvanthapuram,Amritsar,"3,3A,26,26A,15",
Ahmedabad Exp,19421/19422,Patna,Ahmedabad,"3,32",,,North,,,
Ahmedabad Exp,19943,Udaipur City,Ahmedabad,77,Amritsar Exp,14505/14506,Nangal Dam,Amritsar,15,
Ahmedabad Exp,22967/22968,Ahmedabad,Prayagraj,"24,46",Amritsar Exp,14615/14616,Lalkuan,Amritsar,"12,55",
Aianta Exp,17063/17064,Manmad,kacheguda,53,Amrapalli Exp,15707/15708,Katihar,Amritsar,"15,22",
Ajmer Exp,18213/18214,Durg,Ajmer,"72,81",Amritsar Exp,15933/15934,New Tinsukia,Amritsar,"13,66,66A",
Ajmer Exp,12987/12988,Sealdah,Ajmer,"23,65",Amritsar Exp,19325/19326,Indore,Amritsar,4,
Ajmer Exp,12989/12990,Dadar,Ajmer,"11,23,23A",Amritsar Exp,19611,Ajmer,Amritsar,80,
Ajmer Exp,15237/15238,Darbhanga,Ajmer,"13,79,64",Amritsar Exp,19613,Ajmer,Amritsar,"12,82",
Ajmer Exp,15715/15716,Kishanganj,Ajmer,"18,18A,23,25,25A",Amritsar Exp,22445/22446,Kanpur Central,Amritsar,12,
Ajmer Exp,16209/16210,Mysuru,Ajmer,"11,19,19A,23,23A",Amritsar Mail,13005/13006,Howrah,Amritsar,12,TAG-26
,,,,,27,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Anand Vihar T Exp,12443/12444,Haldia,Anand Vihar T,"1,87",Azad Hind Exp,12129/12130,Pune,Howrah,"5,44"
,Anand Vihar T Exp,22857/22858,Santragachi,Anand Vihar T,32,Azamgarh Exp,13137/13138,Kolkata,Azamgarh,37A
,Anand Vihar T Exp,13429/13430,Malda Town,Anand Vihar T,"18,18A,93,67,25A",Azimabad Exp,12947/12948,Ahmedabad,Rajgir,"1,3"
,Anand Vihar T Exp.,14151/14152,Kanpur Central,Anand Vihar T,"25,25A",Badampahar Exp,18049/18050,Badampahar,Shalimar,5
,Anand Vihar T Exp.,15025/15026,Mau,Anand Vihar T,"25,25A",Bagh Exp,13019/13020,Howrah,Kathgodam,"22,37"
,Anand Vihar T Exp.,15057/15058,Gorakhpur,Anand Vihar T,22,Bagmati Exp,12577/12578,Darbhanga,Mysuru,"17,20,90"
,Anand Vihar T Exp.,15621/15622,Kamakhya,Anand Vihar T,"13A,18A,74A",Baidyanathdham Exp.,18449/18450,Puri,Patna,32
,Anand Vihar T Exp.,22433/22434,Ghazipur City,Anand Vihar T,22,Baijnath Paprola Passr.,52465/52466,Pathankot,Baijnath Paprola,96
,Anand Vihar T Exp.,22409/22410,Gaya,Anand Vihar T,1A,Baijnath Paprola Passr.,52463,Pathankot,Baijnath Paprola,96
,Anand Vihar T Exp.,22805/22806,Bhubaneswar,Anand Vihar T,"41A,78A",Baijnath Paprola Passr.,52467/52468,Pathankot,Baijnath Paprola,96
,Anand Vihar T Exp.,18427/18428,Anand Vihar T,Puri,32,Baijnath Paprola Passr.,52469/52470,Pathankot,Baijnath Paprola,96
,Anandpur Sahib Exp.,12325/12326,Nangal Dam,Kolkata,12,Baiyyappanahalli Exp,18111/18112,Tata Nagar,Yesvantpur,"40,71A"
,Ananthapuri Exp,20635/20636,Chennai Egmore,Kollam,21,Ballia Exp,13105/13106,Sealdah,Ballia,37A
,Ananya Exp,12315/12316,Kolkata,Udaipur City,"23,54,65",Ballia New Delhi SF,22581/22582,Ballia,New Delhi,25
,Andaman Exp,16031/16032,MGR Chennai,Shri Mata Vaishno,"8,16",Balurghat Exp,13063/13064,Howrah,Balurghat,14
,,,Central,Devi Katra,,Balurghat Exp,13189/13190,Sealdah,Balurghat,14
,Andhra Pradesh,20805/20806,New Delhi,Visakhapatnam,42,Balurghat Exp,13431/13432,Nabadwip Dham,Balurghat,14
,AC Exp.,,,,,Balurghat Exp,15463/15464,New Jalpaiguri,Balurghat,14A
,Andhra Pradesh,12707/12708,Tirupati,H. Nizamuddin,"9,71",Banaras Exp,12581/12582,New Delhi,Banaras,25A
,Sampark Kranti Exp.,,,,,Banaras Exp,15103/15104,Gorakhpur,Banaras,63
,Anga Exp,12253/12254,SMVT Bengaluru,Bhagalpur,"29,36",Banaras Exp,22535/22536,Rameshwaram,Banaras,"17A,21A"
,Antyodaya Exp,15551/15552,Darbhanga,Banaras City,22,Banaras Exp,22131/22132,Pune,Banaras,"6,44"
,Antyodaya Exp,16355/16356,Thiruvanthapuram,Mangaluru,26,Banaras Exp,12165/12166,Lokmanya Tilak (T),Gorakhpur,"6,63"
,,,North,,,Banaras Exp,13345/13346,Singrauli,Varanasi,25
,Antyodaya Exp,22551/22552,Darbhanga,Jalandhar City,"13,64",Banaras Exp,24203/24204,Lucknow,Varanasi,25A
,Antyodaya Exp,22841/22842,Santragachi,Tambaram,7,Banaras Exp,15107/15108,Lucknow,Banaras,12A
,Antyodaya Exp,22877/22878,Howrah,Ernakulam Jn,"29,86",Banaras Exp,15119/15120,Dehradun,Banaras,12A
,Antyodaya Exp,22921/22922,Bandra (T),Gorakhour,"3,82",Banaras Exp,22687,Mysuru,Varanasi,19A
,Antyodaya Exp,12597/12598,Gorakhpur,Chhatrapati Shivaji,35,Banaras Exp,17323/17324,SSS Hubballi,Banaras,"19,6,9"
,,,,Maharaj (T),,,,,,
,,,,,,Banaras Exp,18523/18524,Visakhapatnam,Banaras,"41,78"
,Antyodaya Exp,22583/22584,Chhapra,Lokmanya Tilak (T),"22,35",,,,,
,,,,,,Banaras Exp,18611/18612,Ranchi,Banaras,41
,Antyodaya Exp,15267/15268,Raxaul,Lokmanya Tilak (T),"6,22,64",,,,,
,,,,,,Banaras Exp,22969/22970,Okha,Varanasi,"3A,33,34,65"
,Antyodaya Exp,22553/22554,Raxaul,Lokmanya Tilak (T),"6,90",,,,,
,,,,,,Banaras Exp,16367/16368,Kanyakumari,Banaras,"8,21"
,Antyodaya Exp,15559/15560,Darbhanga,Ahmedabad,"6,22,33",,,,,
,,,,,,Banaras Memu Exp,13553/13554,Asansol,Banaras,1
,Anuvrat Exp,22631/22632,Bikaner,Madurai,"3,8,21,28",,,,,
,,,,,,Bandra (T) Exp,22195/22196,Virangana Laxmibai,Bandra (T),4
,Ara Exp,18639/18640,Ranchi,Ara,36,,,,,
,,,,,,Bandra (T) Exp,12936/12937,Surat,Bandra (T),11A
,Arakkonam Exp,16085/16086,Jolarpettai,Arakkonam,20A,,,,,
,,,,,,Bandra (T) Exp,12971/12972,Bhavnagar,Bandra (T),11A
,Aranyak Exp,12885/12886,Shalimar,Bhojudih,87,,,,,
,,,,,,Bandra (T) Exp,12979/12980,Jaipur,Bandra (T),3
,Archana Exp,12355/12356,Rajendra Nagar,Jammu Tawi,12,,,,,
,,,,,,Bandra (T) Exp,12996/12995,Ajmer,Bandra (T),"3,54"
,Aronai Exp,12507/12508,Thiruvananthapuram,Silchar,"83,86,29",,,,,
,,,,,,Bandra (T) Exp,20921/20922,Lucknow,Bandra (T),"3,79"
,Arsikere Exp,16214,SSS Hubballi,Arsikere,19,,,,,
,,,,,,Bandra (T) Exp,20942,Ghazipur City,Bandra (T),"3,22A"
,Arunachal Exp,22411/22412,Anand Vihar (T),Naharlagun,"18,62",,,,,
,,,,,,Bandra (T) Exp,22975/22976,Ramnagar,Bandra (T),"3A,82"
,Asansol Exp,12361/12362,Chhatrapati Shivaji,Asansol,"1, 6",,,,,
,,,Maharaj (T),,,Bandra (T) Exp,22443/22444,Kanpur Central,Bandra (T),"3,82"
,Asansol Exp,13505/13506,Digha,Asansol,87,Bandra (T) Exp,22451/22452,Chandigarh,Bandra (T),"11A,27A,23"
,Asansol Exp,13507/13508,Gorakhour,Asansol,37,Bandra (T) Exp,22473/22474,Bikaner,Bandra (T),"11,23"
,Asansol Exp,13509/13510,Gonda,Asansol,37,Bandra (T) Exp,22915/22916,Hisar,Bandra (T),"11,23,59"
,Asansol Exp,13511/13512,Tatanagar,Asansol,87A,Bandra (T) Exp,22917/22918,Haridwar,Bandra (T),"3,75"
,Asansol Exp,13514,Hatia,Asansol,36,Bandra (T) Exp,22931/22932,Jaisalmer,Bandra (T),"11,23"
,Ashokapuram Exp,20624,KSR Bengaluru,Ashokapuram,20,Bandra (T) Exp,22933/22934,Jaipur,Bandra (T),3A
,Ashokapuram Exp,16551,MGR Chennai Central,Ashokapuram,20,Bandra (T) Exp,22935/22936,Palitana,Bandra (T),"11A,76"
,Ashokapuram Exp,12785,Kacheguda,Ashokapuram,52,Bandra (T) Exp,22949/22950,Delhi Sarai Rohilla,Bandra (T),"11,23"
,Asansol Exp,13545/13546,Gaya,Asansol,1,Bandra (T) Exp,22951/22952,Gandhidham,Bandra (T),11
,Asansol Exp,22329/22330,Haldia,Asansol,87,Bandra (T) Exp,22965/22966,Bhagat Ki Kothi,Bandra (T),"11A,23"
,Asansol Exp,13514/13513,Hatia,Asansol,36,Bandra (T) Exp,22963/22964,Bhavnagar,Bandra (T),11A
,Ashram Exp,12915/12916,Sabarmati,Delhi,23,Bandra (T) Exp,22989/22990,Mahuva,Bandra (T),11A
,August Kranti,12953/12954,Mumbai Central,H. Nizamuddin,3,Bandra (T) Exp,22992/22991,Veravel,Bandra (T),11A
,Rajdhani Exp.,,,,,Bangarapet Exp,16521/16522,KSR Bengaluru,Bangarapet,20A
,Aurangabad Exp.,17621/17622,Tirupati,Chhatrapati,"10A,53",Bapudham Motihari Exp.,14111/14112,Muzaffarpur,Prayagraj,"63, 64"
,,,,SambhaJi Nagar,,Bapudham Motihari Exp.,19269/19270,Porbandar,Muzaffarpur,"11,22,23,64"
,Aurangabad Exp,17619/17620,Huzur Saheb,Chhatrapati,53A,Barak-Brahmaputra Exp.,15641/15642,Silchar,New Tinsukia,"66,83"
,,,Nanded,SambhaJi Nagar,,Barauni Exp,15203/15204,Lucknow,Barauni,22
,Avadh Assam Exp,15909/15910,Dibrugarh,Lalgarh,"18,22,39,66",Barauni Exp,15231/15232,Gondia,Barauni,"5A,81"
TAG-26,Avadh Exp,19037/19038,Bandra (T),Barauni,"3,22,64",Barddhaman Memu Exp,13503/13504,Hatia,Barddhaman,73
,Avantika Exp,12961/12962,Mumbai Central,Indore,3,Bareilly Exp,14307/14308,Prayagraj Sangam,Bareilly,25A
,Ayodhya Cantt Exp,14205/14206,Delhi,Ayodhya Cantt,25,,,,,
,,,,,28,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
Bareilly Exp,14313/14314,Lokmanya Tilak,Bareilly,"2A,55",Bhopal Exp.,18235/18236,Bilaspur,Bhopal,43A,
Bareilly Exp,14315/14316,New Delhi,Bareilly,55,Bhriqu Exp,22427/22428,Ballia,Anand Vihar (T),22,
Bareilly Exp,14319/14320,Indore,Bareilly,"2A,4,55A",Bhubaneswar Exp,20854/20853,MGR Chennai,Bhubaneswar,7A,
Baripada Exp,12891/12892*,Puri,Bangriposi,32,,,Central,,,
Baripada Exp,18007/18008,Shalimar,Bhanjpur,87,Bhubaneswar Exp,12845/12846,SMVT Bengaluru,Bhubaneswar,"20A,29A",
Barmer Exp,12323/12324,Howrah,Barmer,"1,59",Bhubaneswar Exp,12879/12880,Lokmanya ,Bhubaneswar,"5A,78",
Barmer Exp,14805/14806,Yesvantpur,Barmer,"23,19,31",,,Tilak (T),,,
Barmer Exp,14887/14888,Haridwar,Barmer,45,Bhubaneswar Exp,20851/20852,Puducherry,Bhubaneswar,"7A,21A",
Barmer Exp,15631/15632,Guwahati,Barmer,"18,28",Bhubaneswar Exp,20849/20850,Rameshwaram,Bhubaneswar,"7A,21A",
Basava Exp,17307/17308,Mysuru,Bagalkot,"10,20",Bhubaneswar Exp,22805/22806,Anand Vihar (T),Bhubaneswar,"78,41",
Belagavi Exp,20653,KSR Bengaluru,Belagavi,19,Bhubaneswar Exp,22871/22872,Tirupati,Bhubaneswar,7,
Belagavi Exp,17301/17302,Mysuru,Belagavi,19A,Bhubaneswar Exp,22879/22880,Tirupati,Bhubaneswar,7A,
Bengaluru Exp,16519/16520,Jolarpettai,KSR Bengaluru,20,Bhubaneswar Exp,22881/22882,Pune,Bhubaneswar,"10,30A",
Bengaluru Exp,16525/16526,Kanniyakumari,KSR Bengaluru,86A,Bhuj Exp,11091/11092,Pune,Bhuj,"3,1A",
Bengaluru Exp,22305/22306,Jasidih,SMVT Bengaluru,"1,40",Bhuj Exp,12959/12960,Dadar,Bhuj,11A,
Bengaluru Exp,17235/17236,Nagercoil,SMVT Bengaluru,69,Bhuj Exp,22829/22830,Shalimar,Bhuj,"11,4,32",
Bengaluru Exp,22501/22502,New Tinsukia,SMVT Bengaluru,"20,29,66A,74A",Bidar Exp,22143/22144,Chhatrapati Shivaji,Bidar,53,
,,,,,,,Maharaj (T),,,
Bengaluru Exp,22617/22618,Tirupati,SMVT Bengaluru,20,,,,,,
,,,,,Bidar Exp,16571/16572,Yesvantpur,Bidar,60,
Bengaluru Mail,12657/12658,Chennai Central,SMVT Bengaluru,20,,,,,,
,,,,,Bihar Sampark Kranti Exp.,12565/12566,Darbhanga,New Delhi,22,
Bengaluru Cantt Exp,12845/12846,Bhubaneswar,Bengaluru Cantt,"20,29",,,,,,
,,,,,Bikaner Exp,12455/12456,Delhi Sarai Rohilla,Bikaner,39,
Bengaluru Cantt Exp,18637/18638,Hatia,SMVT Bengaluru,"20,40",,,,,,
,,,,,Bikaner Exp,12457/12458,Delhi Sarai Rohilla,Bikaner,59,
Bengaluru Exp,20654,Belagavi,Bengaluru,19,,,,,,
,,,,,Bikaner Exp,15633/15634,Bikaner,Guwahati,"23, 28",
Bengaluru Exp,12509/12510,Guwahati,SMVT Bengaluru,29,,,,,,
,,,,,Sri Ganganagar-Dadar,12489/12490,Dadar,Sri Ganganagar,"11,23A,39",
Bengaluru Exp,12683/12684,Ernakulam Jn,KSR Bengaluru,86A,,,,,,
,,,,,Exp,,,,,
Bengaluru Exp,12835/12836,Hatia,SMVT Bengaluru,"20,40",,,,,,
,,,,,Bikaner Exp,16587/16588,Yesvantpur,Bikaner,"19,23,31",
Bengaluru Exp,12863/12864,Howrah,SMVT Bengaluru,29,,,,,,
,,,,,Bikaner Exp,20845/20846,Bilaspur,Bikaner,"3A,28,42A",
Bengaluru Exp,16315/16316,Thiruvanthapuram,KSR Bengaluru,86A,,,,,,
,,North,,,Bikaner Exp,22473/22474,Bandra (T),Bikaner,"11,23",
Bengaluru SF Exp,20685/20686,Gandhidham,KSR Bengaluru,"11A,19",Bilaspur Exp,12849/12850,Pune,Bilaspur,"5A,44",
Bengaluru SF Exp,20693/20694,Jodhour,KSR Bengaluru,"11A,19,23",Bilaspur Exp,12851/12852,MGR Chennai,Bilaspur,"8A,42",
,,,,,,,Central,,,
Bengaluru Exp,16521/16522,Bangarapet,KSR Bengaluru,20,,,,,,
,,,,,Bilaspur Exp,17481/17482,Tirupati,Bilaspur,"7A,42A",
Bengaluru Exp,16533/16534,Jodhpur,KSR Bengaluru,"11A,19,23,60",,,,,,
,,,,,Bilaspur Exp,18235/18236,Bhopal,Bilaspur,43,
Bengaluru Exp,16593/16594,Hazur Sahib,KSR Bengaluru,60,,,,,,
,,,,,Bilaspur Exp,20843/20844,Bhagat Ki Kothi,Bilaspur,"3,28,42",
,,Nanded,,,,,,,,
,,,,,Bilaspur Exp,20845/20846,Bikaner,Bilaspur,"3,28,42",
Bengaluru Exp,16512,Kannur,KSR Bengaluru,"19,20",,,,,,
,,,,,Bilaspur Exp,22619/22620,Tirunelveli,Bilaspur,"8,42,86",
Berhampore Court Exp.,13117/13118,Kolkata,Lalgola,14,,,,,,
,,,,,Bilaspur Exp,22815/22816,Ernakulam Jn,Bilaspur,"86A,8A,42",
Betwa Exp,18203/18204,Durg,Kanpur Central,81,,,,,,
,,,,,Bilaspur-Buxar Exp,22843/22844,Buxar,Bilaspur,"36,5",
Bhagalpur Exp,12335/12336,Lokmanya Tilak (T),Bhagalpur,24,,,,,,
,,,,,Bilaspur Exp,22939/22940,Okha,Bilaspur,34,
Bhagalpur Exp,15097/15098,Jammu Tawi,Bhagalpur,13A,,,,,,
,,,,,Bilaspur Exp,18257/18258,Chirimiri,Bilaspur,32A,
Bhagalpur Exp,22947/22948,Surat,Bhagalpur,24,,,,,,
,,,,,Bilaspur Exp,18247/18248,Rewa,Bilaspur,81,
Bhagat Ki Kothi Exp.,11089/11090,Pune,Bhagat Ki Kothi,"23A,31A",,,,,,
,,,,,Black Diamond Exp.,22387/22388,Howrah,Dhanbad,37,
Jaisalmer Exp,20491/20492,Jaisalmer,Sabaramati,23A,,,,,,
,,,,,Bodinayakkanur Exp.,20601/20602,Chennai Central,Bodinayakkanur,86,
Bhagat Ki Kothi Exp.,15623/15624,Kamakhya,Bhagat Ki Kothi,"59,18A",,,,,,
,,,,,Brahmaputra Mail,15658/15657,Kamakhya,Delhi,"1,18",
Bhagat Ki Kothi Exp.,22673/22674,Mannargudi,Bhagat Ki Kothi,"3,8,21,28",,,,,,
,,,,,Brindavan Exp,12639/12640,MGR Chennai,KSR Bengaluru,20,
Bhagat Ki Kothi Exp.,18573/18574,Visakhapatnam,Bhagat Ki Kothi,"28,42,72,81",,,,,,
,,,,,,,Central,,,
Bhagirathi Exp,13103/13104,Sealdah,Lalgola,14,,,,,,
,,,,,Budhpurnima Exp,14223/14224,Rajgir,Banaras,67,
Jammu Tawi Exp,14803/14804,Jodhpur,Jammu Tawi,51,,,,,,
,,,,,Bundelkhand Exp,11107/11108,Gwalior,Banaras,47,
Bhavnagar Exp,12971/12972,Bandra (T),Bhavnagar,11,,,,,,
,,,,,Buxar Exp,18183/18184,Tatanagar,Buxar,"36,36A",
Bhavnagar Exp,12755/12756,Kakinada Town,Bhavnagar,"10,10A,11,30",,,,,,
,,,,,Capital Exp,13247/13248,Kamakhya,Ara,"18,74",
Bhavnagar Exp,22963/22964,Bandra (T),Bhavnagar,11,,,,,,
