Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
,,,,,12631/12632,Chennai Egmore,Tirunelveli,Nellai,21,
,,,,,12,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
12633/12634,Chennai Eamore,Kanniyakumari,Exp,21,12737/12738,Kakinada Port,Lingampalli,Gautami,30,
12635/12636,Chennai Egmore,Madurai,Vaigai,21,12739/12740,Visakhapatnam,Secunderabad,Garib Rath,30,
12637/12638,Chennai Egmore,Madurai,Pandivan,21,12741/12742,Vasco-de-Gama,Patna,Exp,"24,26",
12639/12640,MGR Chennai,KSR Bengaluru,Brindavan,20,12743/12744,Gudur,Vijayawada,Intercity,7,
,Central,,,,12745/12746,Manuguru,Secunderabad,Exp,30,
12641/12642,Kanniyakumari,H. Nizamuddin,Thirukkural,"8,21",12747/12748,Guntur,Vikarabad,Palnadu,30,
12643/12644,Thiruvanthapuram,H. Nizamuddin,Exp,"8,86",12749/12750,Machilipatnam,Bidar,Machilipatnam,"30,53",
,North,,,,,,,,,
,,,,,12751/12752,H.S. Nanded,Jammu Tawi,Humsafar,"4,53",
12645/12646,Ernakulam Jn,H. Nizamuddin,Millennium,"8,86",,,,,,
,,,,,12753/12754,H.S. Nanded,H. Nizamuddin,Marathwada,"4,53",
12647/12648,Coimbatore,H. Nizamuddin,Kongu,"9,52,86",,,,Samprakranti,,
12649/12650,Yesvantpur,H. Nizamuddin,Karnataka Sampark,"9,19,60",12755/12756,Kakinada Port,Bhavnagar,Exp,"10,11,30",
,,,Kranti,,,,,,,
,,,,,12757/12758,Secunderabad,Sirpur Kaghaz Nagar,Kaghaz Nagar Exp.,9,
12651/12652,Madurai,H. Nizamuddin,Tamil Nadu,"8,21",,,,,,
,,,,,12759/12760,Tambaram,Hyderabad,Charminar,71,
,,,Sampark Kranti,,,,,,,
,,,,,12761/12762,Tirupati,KarimNagar,Exp,71,
12653/12654,Chennai Egmore,Tiruchchirappalli,Rockfort,21,,,,,,
,,,,,12763/12764,Tirupati,Secunderabad,Padmavati,71,
12655/12656,Ahmedabad,MGR Chennai ,Navjivan,46,,,,,,
,,Central,,,12765/12766,Tirupati,Amravati,Exp,"52,53",
12657/12658,MGR Chennai,KSR Bengaluru,Mail,20,12767/12768,Hazur Sahib Nanded,Santragachi,Exp,"5,53",
,Central,,,,12769/12770,Tirupati,Secunderabad,Seven Hills,52,
12659/12660,Nagercoil,Shalimar,Gurudev,"29,86",12771/12772,Secunderabad,Raipur,Exp,"5,9",
12661/12662,Chennai Egmore,Sengottai,Pothigai,21,12773/12774,Shalimar,Secunderabad,AC,30,
12663/12664,Howrah,Tiruchchirappalli,Exp,"21,29",12775/12776,Kakinada,Lingampalli,Cocanada AC,30,
12665/12666,Howrah,Kanniyakumari,Exp,"21,29",12777/12778,SSS Hubballi,Thiruvanthapuram,Exp,"19,86",
12667/12668,Chennai Egmore,Kanniyakumari,Exp,21,,,North,,,
12669/12670,MGR Chennai Central,Chhapra,Ganga Kaveri,17,12779/12780,Vasco-de-Gama,H. Nizamuddin,Goa,"9,19",
12671/12672,MGR Chennai Central,Mettupalavam,Nilqiri,86,12781/12782,Mysuru,H. Nizamuddin,Swarna Jayanti,"9,19",
12673/12674,MGR Chennai Central,Coimbatore,Che ran,86,12783/12784,Visakhapatnam,Secunderabad,AC,30,
12675/12676,MGR Chennai Central,Coimbatore,Kovai,86,12785/12786,Kacheguda,Ashokapuram,Ashokapuram Exp,52,
12679/12680,MGR Chennai Central,Coimbatore,Intercity,86,12787/12788,Narasapur,Nagarsol,Exp,"30,53",
12681/12682,MGR Chennai Central,Coimbatore,Exp,86,12789/12790,Murudeshwar,Kacheguda,Exp,"2A,26,71, 86",
12683/12684,Ernakulam Jn,SMVT Bengaluru,Exp,86,12791/12792,Secunderabad,Danapur,Danapur,17,
12685/12686,MGR Chennai Central,Mangaluru Central,Exp,86,12793/12794,Tirupati,Nizamabad,Rayalseema,71,
12689/12690,MGR Chennai Central,Nagercoil,Exp,"69,86",12795/12796,Vijayawada,Lingampalli,Intercity,30,
12691/12692,MGR Chennai Central,Shivmogga Town,Exp,20,12797/12798,Kacheguda,Chittoor,Venkatadri,71,
12693/12694,Chennai Egmore,Tuticorin,Pearl City,21,12801/12802,Puri,Anand Vihar (T),Purushottam,32,
12695/12696,MGR Chennai,Thiruvanthapuram,Exp,86,12803/12804,Visakhapatnam,H. Nizamuddin,Swarna Jayanti,42,
,Central,Central,,,12805/12806,Visakhapatnam,Lingampalli,Janmabhoomi,"7,71",
12697/12698,MGR Chennai,Thiruvananthapuram,Exp,86,12807/12808,Visakhapatnam,H. Nizamuddin,Samata,42,
,Central,Central,,,12809/12810,Chhatrapati Shivaji,Howrah,Mail,5,
12701/12702,Chhatrapati Shivaji,Hyderabad,Hussain Sagar,10,,Maharaj (T),,,,
,Maharaj (T),,,,12811/12812,Lokmanya Tilak (T),Hatia,Exp,5,
12703/12704,Howrah,Secunderabad,Falaknuma,30,12813/12814,Howrah,Tatanagar,Steel,87,
12705/12706,Guntur,Secunderabad,Intercity,71,12815/12816,Puri,Anand Vihar (T),Nandankanan,32,
12707/12708,Tirupati,H. Nizamuddin,Andhra Pradesh,"9,71",12817/12818,Hatia (via Bokaro),Anand Vihar (T),Jharkhand Swarna,41,
,,,Sam park Kranti,,,,,Jayanti,,
12709/12710,Gudur,Secunderabad,Simhapuri,71,12819/12820,Bhubaneswar,Anand Vihar (T),Odisha Sam park,32,
12711/12712,Vijayawada,MGR Chennai Central,Pinakini,71,,,,Kranti,,
12713/12714,Vijayawada,Secunderabad,Satavahana,71,12821/12822,Howrah,Puri,Dhauli,7,
12715/12716,Hazur Sahib Nanded,Amritsar,Sachkhand,"4,15,53",12823/12824,Durg,H. Nizamuddin,Chattisgarh ,"32,81",
,,,,,,,,Sampark Kranti,,
12717/12718,Visakhapatnam,Vijayawada,Ratnachal,7,,,,,,
,,,,,12825/12826,Ranchi (via Bokaro),Anand Vihar (T),Jharkhand,41,
12719/12720,Jaipur,Hyderabad,Jaipur Exp,"9,53,54",,,,Sampark Kranti,,
12721/12722,Hyderabad,H. Nizamuddin,Dakshin,"9,42",12827/12828,Howrah,Purulia,Exp,87,
12723/12724,Hyderabad,New Delhi,Telangana,9,20854/20853,MGR Chennai,Bhubaneswar,Exp,7,
12725/12726,KSR Bengaluru,Dharwad,Siddhaganga,19,,Central,,,,
12727/12728,Visakhapatnam,Hyderabad,Godavari,30,12831/12832,Dhanbad,Bhubaneswar,Garib Rath,78,
12731/12732,Tirupati,Secunderabad,Exp,31,12833/12834,Ahmedabad,Howrah,Exp,34,
12733/12734,Tirupati,Lingampalli,Narayanadri,71,12835/12836,Hatia,SMVT Bengaluru,Exp,"20,40",
12735/12736,Secunderabad,Yesvantpur,Garib Rath,9,12837/12838,Howrah,Puri,Exp,7,TAG-26
,,,,,13,,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,12839/12840,Howrah,MGR Chennai Central,Mail,7,12949/12950,Porbandar,Santragachi,Kavi Guru,"34,87"
,12841/12842,Howrah,MGR Chennai Central,Coromandel,7,12951/12952,Mumbai Central,New Delhi,Tejas Rajdhani,3
,12843/12844,Puri,Ahmedabad,Exp,"34,46",12953/12954,Mumbai Central,H. Nizamuddin,Tejas August Kranti,3
,12845/12846,Bhubaneswar,SMVT Bengaluru,Exp,"20,29",,,,Rajdhani,
,,,,,,12955/12956,Mumbai Central,Jaipur,Exp,3
,12847/12848,Howrah,Digha,Super AC,87,,,,,
,,,,,,12957/12958,Sabarmati,New Delhi,Swarna Jayanti,23
,12849/12850,Bilaspur,Pune,Exp,"5,44",,,,,
,,,,,,,,,Rajdhani,
,12851/12852,Bilaspur,MGR Chennai Central,Exp,"42,8",,,,,
,,,,,,12959/12960,Bandra (T),Bhuj,Exp,11
,12853/12854,Durg,Bhopal,Amarkantak,43,,,,,
,,,,,,12961/12962,Mumbai Central,Indore,Avantika,3
,12855/12856,Bilaspur,NSCB Itwari,Intercity,5,12963/12964,H. Nizamuddin,Udaipur City,Mewar,"3,54"
,12857/12858,Howrah,Digha,Tamralipta,87,12965/12966,Bandra Terminus,New Bhuj,Exp,11
,12859/12860,Chhatrapati Shivaji,Howrah,Gitanjali,5,12967/12968,MGR Chennai Central,Jaipur,Exp,"3,8"
,,Maharaj (T),,,,,,,,
,,,,,,12969/12970,Coimbatore,Jaipur,Exp,"3,8,86"
,12861/12862,Visakhapatnam,Mahbubnagar,S.Fast,30,,,,,
,,,,,,12971/12972,Bandra (T),Bhavnagar,Exp,11
,12863/12864,Howrah,SMVT Bengaluru,Exp,29,,,,,
,,,,,,12973/12974,Indore,Jaipur,Exp,3
,12867/12868,Howrah,Puducherry,Exp,"7,21",,,,,
,,,,,,12975/12976,Mysuru,Jaipur,Exp,"3,9,52"
,12869/12870,Chhatrapati Shivaji,Howrah,Exp,5,,,,,
,,,,,,12977/12978,Ernakulam Jn,Ajmer,Marusagar,"3,23,26"
,,Maharaj (T),,,,,,,,
,,,,,,12979/12980,Bandra (T),Jaipur,Exp,3
,12871/12872,Howrah,Titlaqarh,Ispat,5,,,,,
,,,,,,12981/12982,Jaipur,Asarva,Exp,54
,12873/12874,Hatia (via Barkakana),Anand Vihar (T),Jharkhand Swarna,41,,,,,
,,,,Jayanti,,12983/12984,Ajmer,Chandigarh,Garib Rath,"23,27,80"
,12875/12876,Puri,Anand Vihar (T),Neelnchal,32,12985/12986,Jaipur,Delhi Sarai Rohilla,AC Double Decker,23
,12877/12878,Ranchi,New Delhi,Garib Rath,41,12987/12988,Sealdah,Ajmer,Exp,"23,65"
,12879/12880,Lokmanya Tilak (T),Bhubaneswar,Exp,5.78,12989/12990,Dadar,Ajmer,Exp,"11,23"
,12881/12882,Puri,Shalimar,Garib Rath,7,12991/12992,Udaipur City,Jaipur,Exp,54
,12883/12884,Santragachi/Howrah,Purulia,Rupasi Banqla,87,12993/12994,Gandhidham,Puri,Exp,"34,78"
,12885/12886,Shalimar,Bhojudih,Aranyak,87,,,,,
,,,,,,12995/12996,Bandra Terminus,Ajmer,Exp,"3,54"
,12887/12888,Puri,Shalimar,Exp,7,,,,,
,,,,,,12997/12998,Bandra Terminus,Barmer,Exp,"11,23"
,12889/12890,Tatanagar,SMVT Bengaluru,Exp,"20,40",,,,,
,,,,,,13005/13006,Howrah,Amritsar,Mail,12
,12891/12892*,Bangriposi,Puri,Exp,32,,,,,
,,,,,,13009/13010,Howrah,Yog Nagri Rishikesh,Doon,12
,12893/12894,Bhubaneswar,Purunakatak,Intercity Exp,"40,78",,,,,
,,,,,,13011/13012,Howrah,Malda Town,Intercity,14
,12895/12896,Puri,Shalimar,Exp,7,13015/13016,Howrah,Jamalpur,Kaviguru Exp,14
,20852/20851,Puducherry,Bhubaneswar,Exp,"7,21",13017/13018,Howrah,Azimganj,Ganadevta,14
,12901/12902,Dadar,Ahmedabad,Gujarat Mail,11,13019/13020,Howrah,Kathgodam,Bagh,"22,37"
,12903/12904,Bandra (T),Amritsar,Golden Temple Mail,"3,15",13021/13022,Howrah,Raxaul,Mithila,"37,64"
,12905/12906,Porbandar,Shalimar,Exp,34,13023/13024,Howrah,Gaya,Exp,1
,12907/12908,Bandra (T),H. Nizamuddin,Maharashtra Sam,3,13025/13026,Howrah,Bhopal,Exp,73
,,,,park Kranti,,,,,,
,,,,,,13027/13028,Howrah,Azimganj,Kavi Guru,14
,12909/12910,Bandra (T),H. Nizamuddin,Garib Rath,3,,,,,
,,,,,,13029/13030,Howrah,Mokama,Exp,1
,12911/12912,Valsad,Haridwar,Exp,"3,75",,,,,
,,,,,,13031/13032,Howrah,Jaynagar,Exp,37
,12913/12914,Indore,Nagpur,Tri Shatabdi,8,,,,,
,,,,,,13033/13034,Howrah,Katihar,Exp,14
,12915/12916,Sabarmati,Delhi,Ashram,23,,,,,
,,,,,,13043/13044,Howrah,Raxaul,Exp,37
,12917/12918,Ahmedabad,H. Nizamuddin,Gujarat Sam park,3,,,,,
,,,,Kranti,,13045/13046,Howrah,Deoghar,Mayurakshi Exp,36
,12919/12920,Dr. Ambedkar Nagar,Sri Mata Vaishno Devi,Malwa,"4,16",13053/13054,Howrah,Radhikapur,Kulik Exp,14
,,,Katra,,,13063/13064,Howrah,Balurghat,Exp,14
,12921/12922,Mumbai Central,Surat,Flying Ranee,11,13071/13072,Howrah,Jamalpur,Exp,1
,12923/12924,Dr Ambedkar Nagar,Nagpur,Exp,8,13103/13104,Sealdah,Lal Gola,Bhaqirathi,14
,12925/12926,Bandra (T),Amritsar,Paschim Exp,"3,15,27",13105/13106,Sealdah,Ballia,Exp,37
,12927/12928,Dadar,Ekta Nagar,Exp,11,13113/13114,Kolkata,Lalgola,Hazarduari,14
,12929/12930,Valsad,Vadodara,Exp,3,13115/13116,Sealdah,Jalpaiguri Road,Humsafar Exp,14
,12931/12932,Mumbai Central,Ahmedabad,AC Double Decker,11,13117/13118,Kolkata,Lalgola,Exp,14
,12933/12934,Mumbai Central,Ahmedabad,Karnavati,11,13121/13122,Kolkata,Ghazipur City,Exp,"1,22"
,12935/12936,Bandra (T),Surat,Exp,11,13125/13126,Kolkata,Sairang,Exp,"14, 83"
,12937/12938,Gandhidham,Howrah,Garbha,"3,11,65",13127/13128,Kolkata,Ara,Garibrath Exp,1
,12939/12940,Pune,Jaipur,Exp,"3,31",13131/13132,New Jalpaigudi,Haldibari,Mitali Exp,14
,12941/12942,Bhavnagar,Asansol,Parasnath,"3,33,65,76",13135/13136,Kolkata,Jaynagar,Exp,37
,12943/12944,Valsad,Kanpur Central,Udhyog Karmik,"24,35",13137/13138,Kolkata,Azamgarh,Exp,37
,12945/12946,Veraval,Banaras,Exp,"1,3,11",13141/13142,Sealdah,New Alipurduar,Teesta Torsha,14
TAG-26,12947/12948,Ahmedabad,Rajgir,Azimabad Exp,"1,3",13145/13146,Kolkata,Radhikapur,Exp,14
* Will be renumbered as 18401/18402 w.e.f. 01-02-2026.,,,,,,,,,,
,,,,,14,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
13147/13148,Sealdah,Bamanhat,Uttarbanga Exp,14,13401/13402,Bhagalpur,Danapur,Intercity,93,
13149/13150,Sealdah,Alipurduar Jn.,Kanchan Kanya,"14,74",13403/13404,Ranchi,Bhagalpur,Vananchal,36,
13151/13152,Kolkata,Jammu Tawi,Exp,12,13409/13410,Malda Town,Kiul,Exp,93,
13153/13154,Sealdah,Malda Town,Gour,14,13415/13416,Malda Town,Patna,Exp,93,
13155/13156,Kolkata,Sitamarhi,Mithilanchal,37,13417/13418,Digha,Malda Town,Exp,"14,87",
13157/13158,Kolkata,Muzaffarpur,Tirhut,37,13419/13420,Bhagalpur,Muzaffarpur,Jan Sewa,50,
13159/13160,Kolkata,Jogbani,Exp,14,13421/13422,Nabadwipdham,Malda Town,Exp,14,
13161/13162,Kolkata,Balurghat,Tebhaga,14,13423/13424,Bhagalpur,Ajmer,Humsafar,"24,72",
13163/13164,Sealdah,Saharsa,Haley Bazare,14,13425/13426,Malda Town,Surat,Exp,"73,34",
13165/13166,Kolkata,Sitamarhi,Exp,37,13427/13428,Sahibganj,Howrah,Intercity,1A,
13167/13168,Kolkata,Agra Cantt,Exp,"12,65",13429/13430,Malda Town,Anand Vihar (T),Exp,"18,25,67,93",
13169/13170,Sealdah,Sahara,Hater Bazare via,"14,90",13431/13432,Nabadwip,Balurghat,Exp,14,
,,,Purnea,,13433/13434,Malda Town,SMVT Bengluru,Amrit Bharat,29,
13173/13174,Sealdah,Sabroom,Kanchanjunga Exp,"14,83",13435/13436,Malda Town,Gomtinagar,Amrit Bharat,"18,22,67",
13175/13176,Sealdah,Silchar,Kanchanjunga Exp,"14,83",13465/13466,Howrah,Malda Town,Intercity,14,
13177/13178,Sealdah,Jangipur Road,Memu Exp,14,13503/13504,Barddhaman,Hatia,Exp,73,
13179/13180,Sealdah,Siuri,Memu Exp,92,13505/13506,Digha,Asansol,Exp,87,
13181/13182,Kolkatta,Silghat Town,Kaziranga Exp,"14,74",13507/13508,Asansol,Gorakhpur,Exp,37,
13185/13186,Sealdah,Jaynagar,Ganga Sagar,37,13509/13510,Asansol,Gonda,Exp,37,
13187/13188,Sealdah,Rampurhat,Exp,14,13511/13512,Tatanagar,Asansol,Exp,87,
13189/13190,Sealdah,Balurghat,Exp,14,13513/13514,Asansol,Hatia,Exp,36,
13201/13202,Rajgir,Lokmanya Tilak (T),Janta Exp,24,13545/13546,Asansol,Gaya,Exp,1,
13205/13206,Patliputra,Purnea Court,Janhit,90,13553/13554,Asansol,Varanasi,Exp,1,
13207/13208,Patna,Jasidih,Exp,1,13697/13698,Gaya,Delhi,Amrit Bharat,"1, 1A",
13209/13210,Patna,Pt. Din Dayaal,Exp,1,14001/14002,Delhi,Atari,Exp,15,
,,Upadhyay,,,,,,,,
,,,,,14003/14004,Malda Town,New Delhi,Exp,18,
13211/13212,Jogbani,Danapur,Exp,"18,90",14005/14006,Sitamarhi,Anand Vihar (T),Lichchavi,"22,63",
13213/13214,Sahrsa,Jogbani,Exp,90,14007/14008,Raxaul,Anand Vihar (T),Sadhbhavana,"22,25",
13225/13226,Jaynagar,Ara,Exp,90,14009/14010,Anand Vihar (T),Bapudham Motihari,Champaran,"22,64",
13227/13228,Rajendra Nagar,Saharsa,Exp,90,,,,Satyagrah,,
13229/13230,Rajendra Nagar,Godda,Exp,1,14011/14012,Radhikapur,Anand Vihar (T),Exp.,"14,22,64",
13233/13234,Danapur,Koderma,Intercity Exp,67,14013/14014,Sultanpur,Anand Vihar (T),Sadhbhavana,25,
13235/13236,Sahibganj,Danapur,Intercity,93,14015/14016,Raxaul,Anand Vihar (T),Sadhbhavana,"22,25,64",
13237/13238,Patna,Kota (via Ayodhya,Exp,"3,79",14017/14018,Raxaul,Anand Vihar (T),Sadhbhavana,"22,25",
,,Cantt),,,14023/14024,Delhi,Kurukshetra,Exp,16,
13239/13240,Patna,Kota (via Sultanpur),Exp,"3,79",14027/14028,Jind,Firozpur Cantt.,Exp,39,
13241/13242,Banka,Rajendra Nagar,Exp,24,14029/14030,Shri Ganganagar,Delhi/Meerut Cantt.,Exp,39,
13243/13244,Patna,Bhabua Road,Intercity,48,14035/14036,Delhi Sarai Rohilla,Pathankot,Dhauladhar,16,
13245/13246,New Jalpaiguri,Ara,Capital Exp.,18,14037/14038,New Delhi,Silchar,Poorvottar Sampark,"18,83",
13247/13248,Kamakhya,Ara,Capital Exp.,"18,74",,,,Kranti,,
13249/13250,Patna,Bhabua Road,Intercity,24,14341/14342,Delhi,Dehradun,Mussoorie,75,
13251/13252,Patna,Anand Vihar (T),Exp,"1,1A",14047/14048,Sitamarhi,Delhi,Amrit Bharat,"22,22A",
13257/13258,Danapur,Anand Vihar (T),Jansadharan,"1,18",14049/14050,Godda,Delhi,Exp,1,
13281/13282,Dibrugarh,Rajendra Nagar,Exp,"18,66,74",14053/14054,Delhi,Daulatpur Chowk,Himachal Exp,16,
13287/13288,Durg,Ara,South Bihar,36,14085/14086,Tilak Bridge,Sirsa,Haryana,39,
13301/13302,Dhanbad,Tatanagar,Suvarna Rekha,87,14087/14088,Delhi,Jaisalmer,Runicha Exp,23,
13303/13304,Dhanbad,Ranchi,Intercity,36,14089/14090,Anand Vihar,Kotdwara,Exp,75,
13305/13306,Dhanbad,Dehri On Sone,Intercity,1,14101/14102,Prayagraj Sangam,Kanpur Central,Exp,1,
13307/13308,Dhanbad,Firozpur Cantt.,Ganga Sutlei,12,14109/14110,Kanpur Central,Chitrakootdham Karvi,Exp,57,
13309/13310,Chopan,Prayagraj,Exp,25,14111/14112,Muzaffarpur,Prayagraj,Bapudham Exp,"63, 64",
13319/13320,Dumka,Ranchi,Exp,36,14113/14114,Subedarganj,Dehradun,Exp,68,
13329/13330,Dhanbad,Patna,Ganga Damodar,36,14115/14116,Dr Ambedkar Nagar,Prayagraj,Exp,65,
13331/13332,Dhanbad,Patna,Exp,36,14117/14118,Prayagraj,Bhiwani,Kalindi,"25,39",
13333/13334,Dumka,Patna,Exp,1,14119/14120,Kathgodam,Dehradun,Exp,"13,55",
13343/13344,Shakti Nagar,Varanasi,Memu Exp,25,14123/14124,Maa Belha Devi,Kanpur Central,Exp,25,
13345/13346,Singrauli,Varanasi,Memu Exp,25,,Dham Pratapgarh,,,,
13347/13348,Barkakana,Patna,Palamau,48,14151/14152,Kanpur Central,Anand Vihar (T),Exp,25,
13349/13350,Singrauli,Patna,Exp,48,14163/14164,Subedarganj,Meerut City,Sangam,68,
13351/13352,Dhanbad,Alappuzha,Exp,40,14201/14202,Jaunpur,Rae Bareli,Exp,25,TAG-26
,,,,,15,,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,14205/14206,Ayodhya Cantt,Delhi,Ayodhya Exp,25,14679/14680,Delhi,Amritsar,Intercity Exp,15
,14207/14208,Maa Belha Devi,Delhi,Padmavat,25,14681/14682,Delhi,Jalandhar,Intercity Exp,16
,,Dham Pratapgarh,,,14691/14692,Baruani,Jammu Tavi,Mourdhwaj Exp,13,
,14209/14210,Prayagraj Sangam,Lucknow,Intercity,25,14701/14702,Sri Ganga Nagar,Bandra (T),Aravali,"11,23,77"
,14211/14212,Agra Cantt.,New Delhi,Intercity,2,14703/14704,Jaisalmer,Lalgarh (via Phalodi),Kotayat,59
,14213/14214,Varanasi,Bahraich,Intercity,81,14705/14706,Bhiwani,Dahar Ka Balaji,Exp,80
,14215/14216,Prayagraj Sangam,Lucknow,Ganga Gomti,25,14707/14708,Hanumangarh,Dadar,Ranakpur,"11, 23, 45"
,14217/14218,Prayagraj Sangam,Chandigarh,Unchahar,"1,27",14713/14714,Sikar,Delhi Sarai Rohilla,Exp,59
,14223/14224,Varanasi,Rajgir,Budh Purnima,67,14715/14716,Hisar,Jaipur,Exp,80
,14229/14230,Prayagraj Sangam,Haridwar,Exp,88,14717/14718,Bikaner,Haridwar,Exp,"16,39,75"
,14231/14232,Prayagraj Sangam,Basti,Manwar Sangam,81,14719/14720,Bikaner,Amritsar,Exp,"39,80"
,,,,Exp.,,,,,,
,,,,,14721/14722,Jodhpur,Bathinda,Exp,51,
,14233/14234,Prayagraj Sangam,Mankapur,Saryu Exp,"25,81",,,,,
,,,,,14725/14726,Bhiwani,Mathura,Exp,80,
,14235/14236,Varanasi,Bareilly,Exp,25,,,,,
,,,,,14727/14728,Shri Ganganagar,Tilak Bridge,Exp,59,
,14241/14242,Prayagraj Sangam,Saharanpur,Exp,88,,,,,
,,,,,14729/14730,Rewari,Fazilka,Exp,39,
,14259/14260,Lucknow,Gaya,Ekatmata,12,,,,,
,,,,,14731/14732,Delhi,Bathinda,Kisan,39,
,14261/14262,Lucknow,Gaya,Ekatmata,12,,,,,
,,,,,14733/14734,Bhatinda,Jaipur,Exp,80,
,14303/14304,Delhi,Haridwar,Exp,75,,,,,
,,,,,14735/14736,Shri Ganganagar,Ambala Cantt.,Exp,45,
,14305/14306,Delhi,Haridwar,Exp,75,,,,,
,,,,,14737/14738,Bhiwani,Tilak Bridge,Exp,39,
,14307/14308,Prayag,Bareilly,Exp,25,,,,,
,,,,,14795/14796,Bhiwani,Kalka,Ekta,27,
,14309/14310,Laxmibai Nagar,Yog Nagri Rishikesh,Ujjaini Exp,"4,75",,,,,
,,,,,14801/14802,Jodhour,Indore,Exp,"23,54",
,14311/14312,Bareilly,Bhuj (via Ahmedabad),Ala Hazrat,"11,23,55",,,,,
,,,,,14803/14804,Bhagat ki Kothi,Jammu Tavi,Exp,"51, 59",
,14313/14314,Lokmanya Tilak (T),Bareilly,Exp,"2,55",,,,,
,,,,,14805/14806,Yesvantpur,Barmer,Exp,"19,23,31",
,14315/14316,Bareilly,New Delhi,Intercity,55,,,,,
,,,,,14807/14808,Bhagat Ki Kothi,Dadar,Exp,"11,23",
,14317/14318,Laxmibai Nagar,Yog Nagri Rishikesh,Exp,"4,75",,,,,
,,,,,14813/14814,Jodhpur,Bhopal,Exp,"28,72",
,14319/14320,Indore,Bareilly,Exp,"2,4,55",,,,,
,,,,,14815/14816,Shri Ganganagar,Rishikesh,Exp,"45,75",
,14321/14322,Bareilly,Bhuj (via Bhildi),Ala Hazrat,"11,23,55",,,,,
,,,,,14821/14822,Jodhpur,Sabarmati,Exp,23,
,14323/14324,New Delhi,Rohtak,Exp,16,,,,,
,,,,,14823/14824,Jodhpur,Rewari,Exp,59,
,14331/14332,Delhi,Kalka,Exp,27,,,,,
,,,,,14853/14854,Varanasi City,Jodhpur ,Marudhar,79,
,14503/14504,Kalka,Shri Mata Vaishno,Exp,"16,27",,,,,
,,,,,,,(via Ayodhya Cantt),,,
,,,Devi Katra,,,,,,,
,,,,,14863/14864,Varanasi City,Jodhpur ,Marudhar,79,
,14505/14506,Nangal Dam,Amritsar,Exp,15,,,,,
,,,,,,,(via Sultan pur),,,
,14507/14508,Delhi,Fazilka,Exp,"16,45",,,,,
,,,,,14865/14866,Varanasi City,Jodhpur (via Rae Bareli),Marudhar,79,
,14509/14510,Dhuri,Bathinda,Exp,45,,,,,
,,,,,14887/14888,Rishikesh,Barmer,Exp,45,
,14521/14522,Delhi,Ambala Cantt.,Exp,15,,,,,
,,,,,14889/14890,Bhagat ki Kothi,Munabao,Link,45,
,14523/14524,Barauni,Ambala Cantt.,Harihar,"22,88",,,,,
,,,,,,(Jodhpur),,,,
,14525/14526,Ambala Cantt.,Sri GangaNagar,Intercity,45,,,,,
,,,,,14891/14892,Jodhpur,Hisar,DMU Exp,59,
,14527/14528,Batinda,Sri GangaNagar,Exp,39,,,,,
,,,,,14893/14894,Jodhpur,Palanpur,DMU Exp,23,
,14541/14542,Chandigarh,Amritsar,Exp,15,,,,,
,,,,,14895/14896,Jodhpur,Barmer,DMU Exp,23,
,14545/14546,Saharanpur,Delhi,Exp,84,,,,,
,,,,,14897/14898,Bikaner,Hisar,DMU Exp,59,
,14601/14602,Firozpur,Hanuman Garh,Exp,39,,,,,
,,,,,15001/15002,Muzaffarpur,Dehradun,Exp,"13,64",
,14603/14604,Narpatganj,Amritsar,Jan Sadharan,13,,,,,
,,,,,15003/15004,Kanpur Anwarganj,Gorakhpur,Chauri Chaura,63,
,14605/14606,Haridwar,Jammu Tawi,Exp,12,,,,,
,,,,,15005/15006,Gorakhpur,Dehradun,Exp,13,
,14609/14610,Rishikesh,Shri Mata Vaishno,Hemkunt,12,,,,,
,,,,,15007/15008,Varanasi City,Lucknow,Krishak,"22,63",
,,,Devi Katra,,,,,,,
,,,,,15009/15010,Gorakhpur,Izzatnagar,Exp,38,
,14611/14612,Shri Mata Vaishno,Ghazipur City,Exp,12,,,,,
,,Devi Katra,,,15011/15012,Lucknow,Chandigarh,Exp,88,
,14613/14614,Firozpur,SAS Nagar Mohali,Exp,15,15013/15014,Jaisalmer,Kathgodam,Ranikhet,"23,55"
,14615/14616,Lalkuan,Amritsar,Exp,"12,55",15015/15016,Amritsar,Lalkuan,Exp,"12,55"
,14617/14618,Amritsar,Purnea Court,Jan Sewa,"13,22",15017/15018,Lokmanya Tilak (T),Gorakhpur,Kashi,"6,63"
,14619/14620,Agartala,Firozpur Cantt.,Exp,"18,39,83",15019/15020,Tanakpur,Dehradun,Exp,"12,55"
,14621/14622,Nanded,Firozpur Cantt.,Exp,"4,53",15021/15022,Shalimar,Gorakhpur,Exp,"32,63"
,14625/14626,Haridwar,Firozpur Cantt.,Exp,"39, 45",15023/15024,Gorakhpur,Yesvantpur,Exp,"9,35,52"
