Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
12075/12076,Kozhikode,Thiruvananthapuram,Jan Shatabdi,85,12179/12180,Lucknow Jn.,Agra Fort,Intercity,33
12077/12078,MGR Chennai ,Vijayawada,Jan Shatabdi,71,,,,,
TAG-26,,,,,12181/12182,Jabalpur,Ajmer,Dayodaya,72
,Central,,,,,,,,
,,,,10,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
12183/12184,Bhopal,Maa Belha Devi Dham,Exp,35,12297/12298,Ahmedabad,Pune,Duronto,31,
,,Pratapgarh,,,12301/12302,Howrah (via Gaya),New Delhi,Kolkata Rajdhani,1,
12185/12186,Rani Kamalapati,Rewa (via Bina),Rewanchal,43,12303/12304,Howrah (via Patna),New Delhi,Poorva,1,
12187/12188,Jabalpur,Chhatrapati Shivaji,Garib Rath,6,12305/12306,Howrah (via Patna),New Delhi,Kolkata Rajdhani,1,
,,Maharaj (T),,,12307/12308,Howrah,Jodhpur,Exp,"28,65",
12189/12190,Jabalpur,H. Nizamuddin,Mahakoshal,56,12309/12310,Rajendranagar,New Delhi,Tejas Rajdhani,1,
12191/12192,H. Nizamuddin,Jabalpur,Exp,56,12311/12312,Howrah,Kalka,Netaji Exp,"1,27",
12193/12194,Yesvantpur,Jabalpur,Exp,"9,17,52",12313/12314,Sealdah,New Delhi,Sealdah Rajdhani,1,
12195/12196,Agra Fort,Ajmer,Intercity,23,12315/12316,Kolkata,Udaipur City,Ananya,"23,65,54",
12197/12198,Bhopal,Gwalior,Intercity,4,12317/12318,Kolkata,Amritsar,Akal Takht,12,
12201/12202,Lokmanya Tilak (T),Thiruvanthapuram,Garib Rath,26,12319/12320,Kolkata,Gwalior,Exp,65,
,,North,,,,,,,,
,,,,,12321/12322,Howrah,Chhatrapati Shivaji,Mail,"1,6",
12203/12204,Saharsa,Amritsar,Garib Rath,"15,13",,,Maharaj (T),,,
12207/12208,Kathgodam,Jammu Tawi,Exp,"12,55",12323/12324,Howrah,Barmer,SF Exp,"1,59",
12209/12210,Kanpur Central,Kathgodam,Exp,"22,55",12325/12326,Kolkata,Nangaldam,Exp,12,
12211/12212,Muzaffarpur,Anand Vihar (T),Garib Rath,"22,64",12327/12328,Howrah,Dehradun,Upasana,"12, 12A",
12213/12214,Yesvantpur,Delhi Sarai Rohilla,Duronto,9,12329/12330,Sealdah,Anand Vihar (T),West Benqal,1,
12215/12216,Delhi Sarai Rohilla,Bandra (T),Garib Rath,"11,23",,,,Sampark Kranti,,
12217/12218,Thiruvanthapuram,Chandigarh,Kerala Sampark,"3,26,27",12331/12332,Howrah,Jammu Tawi,Himgiri,12,
,North,,Kranti,,12333/12334,Howrah,Prayagraj Rambag,Vibhuti,1,
12219/12220,Lokmanya Tilak (T),Secunderabad,Duronto,10,12335/12336,Bhagalpur,Lokmanya Tilak (T),Exp,24,
12221/12222,Pune,Howrah,Duronto,5,12337/12338,Howrah,Bolpur,Shantiniketan,14,
12223/12224,Lokmanya Tilak (T),Ernakulam Jn,Duronto,26,12339/12340,Howrah,Dhanbad,Coalfield,37,
12225/12226,Azamgarh,Delhi,Kaifiyaat,25,12341/12342,Howrah,Asansol,Agniveena,37,
12227/12228,Mumbai Central,Indore,Duronto,3,12343/12344,Sealdah,Haldibari,Darjeeling Mail,14,
12229/12230,Lucknow,New Delhi,Lucknow Mail,25,12345/12346,Howrah,Guwahati,Saraighat,14,
12231/12232,Lucknow,Chandigarh,Exp,88,12347/12348,Howrah,Rampurhat,Exp,14,
12235/12236,Anand Vihar (T),Madhupur,Humsafar,1,12349/12350,Godda,New Delhi,Humsafar Exp,1,
12237/12238,Varanasi,Jammu Tawi,Begampura,12,12351/12352,Howrah,Rajendranagar,Exp,1,
12239/12240,Mumbai Central,Hisar,Duronto,"3,77",12353/12354,Howrah,Lalkuan,Exp,"12,55",
12243/12244,MGR Chennai,Coimbatore,Shatabdi,86,12355/12356,Patna,Jammu Tawi,Archana Exp,12,
,Central,,,,,,,,,
,,,,,12357/12358,Kolkata,Amritsar,Durgiana,12,
12245/12246,Howrah,SMVT Bengaluru,Duronto,29,,,,,,
,,,,,12361/12362,Asansol,Chhatrapati Shivaji,Exp,"1,6",
12247/12248,Bandra (T),H. Nizamuddin,Yuva,3,,,Maharaj (T),,,
12249/12250,Shakur Basti,Jaisalmer,Exp,23,12363/12364,Kolkata,Haldibari,Intercity,14,
12251/12252,Yesvantpur,Korba,Wainganga,"9,42,52",12365/12366,Patna,Ranchi,Jan Shatabdi,36,
12253/12254,SMVT Bengaluru,Bhagalpur,Anga,"29,36",12367/12368,Bhagalpur,Anand Vihar (T),Vikramshila,1,
12257/12258,Yesvantpur,Thiruvanthapuram,Garib Rath,86,12369/12370,Howrah,Dehradoon,Kumbha,12,
,,North,,,,,,,,
,,,,,12371/12372,Howrah,Bikaner,Exp,"12,25,59",
12259/12260,Sealdah,Bikaner Jn.,Duronto,"1,59",,,,,,
,,,,,12375/12376,Jasidih,Tambaram,Exp,"1,40",
12261/12262,Chhatrapati Shivaji,Howrah,Duronto,5,,,,,,
,,,,,12377/12378,Sealdah,New Alipurduar,Padatik,14,
,Maharaj (T),,,,,,,,,
,,,,,12379/12380,Sealdah,Amritsar,Jallianwala Baqh,"1,15",
12263/12264,Pune,H. Nizamuddin,Duronto,4,,,,,,
,,,,,12381/12382,Howrah (via Gaya),New Delhi,Poorva,1,
12265/12266,Delhi Sarai Rohilla,Jammu Tawi,Duronto,16,,,,,,
,,,,,12383/12384,Sealdah,Asansol,Intercity,37,
12267/12268,Mumbai Central,Hapa,Duronto,11,,,,,,
,,,,,12389/12390,Gaya,MGR Chennai ,Exp,17,
12269/12270,MGR Chennai,H. Nizamuddin,Duronto,8,,,,,,
,,,,,,,Central,,,
,Central,,,,,,,,,
,,,,,12391/12392,Rajgir,New Delhi,Shramjeevi,"1,25,67",
12273/12274,Howrah,New Delhi,Duronto,1,,,,,,
,,,,,12393/12394,Rajendranagar,New Delhi,Sampoorna Kranti,1,
12275/12276,Prayagraj,New Delhi,Humsafar,1,,,,,,
,,,,,12395/12396,Rajendranagar,Ajmer,Ziyarat,"23,65",
12277/12278,Howrah,Puri,Shatabdi,7,,,,,,
,,,,,12397/12398,Gaya,New Delhi,Mahabodhi,1,
12279/12280,Virangana,New Delhi,Taj,2,,,,,,
,Lakshmibai Jhansi,,,,12401/12402,Kota,Dehradun,Nanda Devi,"3,75",
